orispl_code,state,county,name,latitude,longitude,orispl_code,operator,primary_fuel,years
607,WA,Skagit,Fredonia Generating Station,48.4553,-122.435,607,"Puget Sound Energy, Inc.",Natural Gas,2001-2017
2176,MT,Dawson,Glendive Generating Station,47.0539,-104.74,2176,Montana Dakota Utilities Company,Pipeline Natural Gas,2003-2017
2187,MT,Yellowstone,J E Corette,45.7747,-108.4803,2187,"P P & L Montana, LLC, Talen Montana, LLC",Coal,2001-2015
2322,NV,Clark,Clark,36.0875,-115.0507,2322,NV Energy,Pipeline Natural Gas,2001-2017
2324,NV,Clark,Reid Gardner,36.6531,-114.6364,2324,NV Energy,Coal,2001-2017
2326,NV,Clark,Sunrise,36.1384,-115.036,2326,NV Energy,Pipeline Natural Gas,2001-2011
2330,NV,Lyon,Fort Churchill,39.1281,-119.1319,2330,Sierra Pacific Power Company,Pipeline Natural Gas,2001-2017
2336,NV,Storey,Tracy,39.5625,-119.525,2336,Sierra Pacific Power Company,Pipeline Natural Gas,2001-2017
2341,NV,Clark,Mohave,35.1458,-114.5917,2341,Southern California Edison Company,Coal,2001-2010
2442,NM,San Juan,Four Corners Steam Elec Station,36.69,-108.4814,2442,Arizona Public Service Company,Coal,2001-2017
2444,NM,Dona Ana,Rio Grande,31.8047,-106.5472,2444,El Paso Electric Company,Pipeline Natural Gas,2001-2017
2446,NM,Lea,Maddox,32.7131,-103.31,2446,Southwestern Public Service Company,Pipeline Natural Gas,2001-2017
2450,NM,Bernalillo,Reeves Generating Station,35.1716,-106.6019,2450,Public Service Company of New Mexico,Pipeline Natural Gas,2001-2017
2451,NM,San Juan,San Juan,36.8006,-108.4386,2451,Public Service Company of New Mexico,Coal,2001-2017
2454,NM,Lea,Cunningham,32.7131,-103.3533,2454,Southwestern Public Service Company,Pipeline Natural Gas,2001-2017
3456,TX,El Paso,Newman,31.9858,-106.4322,3456,El Paso Electric Company,Pipeline Natural Gas,2001-2017
3644,UT,Carbon,Carbon,39.7272,-110.8644,3644,Pacificorp Energy Generation,Coal,2001-2016
3648,UT,Salt Lake,Gadsby,40.7686,-111.9289,3648,,,2001-2017
3845,WA,Lewis,Centralia,46.7559,-122.8578,3845,TransAlta,Coal,2001-2017
4158,WY,Converse,Dave Johnston,42.8378,-105.7769,4158,Pacificorp Energy Generation,Coal,2001-2017
4162,WY,Lincoln,Naughton,41.7572,-110.5986,4162,Pacificorp Energy Generation,Coal,2001-2017
4941,AZ,Coconino,Navajo Generating Station,36.9047,-111.3886,4941,Salt River Project,Coal,2001-2017
6013,CA,Los Angeles,Olive,34.1775,-118.3147,6013,City of Burbank,Pipeline Natural Gas,2001-2017
6021,CO,Moffat,Craig,40.4627,-107.5912,6021,Tri-State Generation & Transmission,Coal,2001-2017
6076,MT,Rosebud,Colstrip,45.8831,-106.614,6076,"Talen Montana, LLC",Coal,2001-2017
6089,MT,Richland,Lewis & Clark,47.6788,-104.1569,6089,Montana Dakota Utilities Company,Coal,2001-2017
6101,WY,Campbell,Wyodak,44.2886,-105.3847,6101,Pacificorp Energy Generation,Coal,2001-2017
6106,OR,Morrow,Boardman,45.6933,-119.8056,6106,Portland General Electric Company,Coal,2001-2017
6112,CO,Weld,Fort St. Vrain,40.2461,-104.8742,6112,Public Service Company of Colorado,Pipeline Natural Gas,2001-2017
6165,UT,Emery,Hunter,39.1747,-111.0289,6165,Pacificorp Energy Generation,Coal,2001-2017
6177,AZ,Apache,Coronado Generating Station,34.5778,-109.2717,6177,Salt River Project,Coal,2001-2017
6204,WY,Platte,Laramie River,42.1103,-104.8828,6204,Basin Electric Power Cooperative,Coal,2001-2017
6248,CO,Morgan,Pawnee,40.2217,-103.6803,6248,Public Service Company of Colorado,Coal,2001-2017
6481,UT,Millard,Intermountain,39.5035,-112.5811,6481,Intermountain Power Service Corporation,Coal,2001-2017
6761,CO,Larimer,Rawhide Energy Station,40.8611,-105.0206,6761,Platte River Power Authority,Pipeline Natural Gas,2001-2017
7082,NV,Clark,Harry Allen,36.425,-114.9,7082,NV Energy,Pipeline Natural Gas,2001-2017
7266,CA,Stanislaus,Woodland Generation Station,37.6528,-121.0172,7266,Modesto Irrigation District,Pipeline Natural Gas,2001-2017
7307,CA,Shasta,Redding Power Plant,40.5083,-122.4253,7307,Redding Electric Utility,Pipeline Natural Gas,2002-2017
7315,CA,Stanislaus,Almond Power Plant,37.5739,-120.9854,7315,Turlock Irrigation District,Pipeline Natural Gas,2001-2017
7350,OR,Morrow,Coyote Springs,45.8486,-119.6744,7350,Portland General Electric Company,Pipeline Natural Gas,2001-2017
7449,CA,San Joaquin,NCPA Combustion Turbine Project #2,38.088,-121.3871,7449,Northern California Power Agency,Pipeline Natural Gas,2001-2017
7456,ID,Kootenai,Rathdrum Combustion Turbine Project,47.8034,-116.869,7456,Avista Corporation,Pipeline Natural Gas,2001-2017
7504,WY,Campbell,Neil Simpson II,44.2853,-105.3841,7504,"Black Hills Power, Inc",Pipeline Natural Gas,2001-2017
7527,CA,Sacramento,Carson Cogeneration,38.4461,-121.4614,7527,Carson Energy Group,Natural Gas,2001-2017
7551,CA,Sacramento,SCA Cogen II,38.5306,-121.399,7551,Carson Energy Group,Pipeline Natural Gas,2001-2017
7552,CA,Sacramento,Sacramento Power Authority Cogen,38.511,-121.4735,7552,"EthosEnergy Power Plant Services, LLC",Pipeline Natural Gas,2001-2017
7605,WA,Clark,River Road,45.65,-122.7231,7605,General Electric Contractual Services,Natural Gas,2001-2017
7693,CA,Orange,Anaheim Combustion Turbine,33.8539,-117.8561,7693,City of Anaheim,Pipeline Natural Gas,2001-2017
7790,UT,Uintah,Bonanza,40.0864,-109.2844,7790,Deseret Generation & Transmission,Coal,2001-2017
7870,WA,Whatcom,Encogen Generating Station,48.746,-122.486,7870,"Puget Sound Energy, Inc.",Natural Gas,2001-2017
7945,WA,Benton,Finley Combustion Turbine,46.1572,-119.0094,7945,Benton Public Utilities District,Natural Gas,2001-2007
7953,ID,Elmore,Evander Andrews Power Complex,43.1794,-115.7328,7953,Idaho Power Company,Pipeline Natural Gas,2001-2017
7967,NM,Hidalgo,Lordsburg Generating Station,32.3494,-108.6975,7967,Public Service Company of New Mexico,Pipeline Natural Gas,2002-2017
7975,NM,Hidalgo,Pyramid Generating Station,32.2363,-108.5494,7975,Tri-State Generation & Transmission,Pipeline Natural Gas,2003-2017
7987,CA,Los Angeles,Lake,34.1775,-118.3147,7987,City of Burbank,Pipeline Natural Gas,2002-2017
7999,WA,Grays Harbor,Grays Harbor Energy Center,46.9688,-123.48,7999,"Grays Harbor Energy, LLC",Natural Gas,2008-2017
8066,WY,Sweetwater,Jim Bridger,41.7378,-108.7875,8066,Pacificorp Energy Generation,Coal,2001-2017
8068,AZ,Maricopa,Santan,33.3333,-111.751,8068,Salt River Project,Pipeline Natural Gas,2005-2017
8069,UT,Emery,Huntington,39.3792,-111.0781,8069,Pacificorp Energy Generation,Coal,2001-2017
8219,CO,El Paso,Ray D Nixon,38.6306,-104.7056,8219,Colorado Springs Utilities,Pipeline Natural Gas,2001-2017
8223,AZ,Apache,Springerville Generating Station,34.3186,-109.1636,8223,Tucson Electric Power Company,Coal,2001-2017
