year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2001-01,50.0,85.0,101.0,106.0,107.0,72.19,362.41,653.8
2001-02,33.0,80.0,104.0,106.0,107.0,79.13,615.09,662.18
2001-03,38.0,74.0,99.0,105.0,107.0,75.98,589.39,598.52
2001-04,7.0,79.0,94.0,106.0,107.0,74.16,578.74,593.82
2001-05,7.0,45.0,54.0,54.0,54.0,50.98,677.48,373.04
2001-06,9.0,48.75,53.0,61.0,102.0,58.31,676.15,437.75
2001-07,9.0,48.0,53.0,72.0,107.0,53.42,469.77,370.14
2001-08,27.0,54.0,77.0,107.0,109.0,55.76,0.56,396.48
2001-09,15.0,55.0,102.0,107.0,109.0,59.6,5.79,464.74
2001-10,27.0,55.0,98.5,107.0,109.0,61.24,23.48,514.4
2001-11,18.0,55.0,83.0,106.0,108.0,58.5,12.23,453.35
2001-12,17.0,60.75,83.0,105.0,108.0,56.59,7.62,426.42
2002-01,15.0,62.0,82.0,100.0,107.0,54.87,0.55,403.99
2002-02,16.0,66.0,83.0,104.0,107.0,57.08,0.58,431.28
2002-03,24.0,68.0,83.0,93.0,106.0,57.63,0.58,441.47
2002-04,5.0,41.0,46.0,52.0,105.0,34.62,0.36,274.85
2002-05,7.0,33.0,52.0,72.0,94.0,37.85,0.78,230.14
2002-06,7.0,14.0,23.0,44.0,104.0,25.81,6.71,106.91
2002-07,7.0,14.0,14.0,28.0,95.0,21.03,0.33,73.77
2002-08,12.0,14.0,15.0,21.0,84.0,17.81,0.18,51.14
2002-09,6.0,14.0,14.0,21.0,79.0,18.01,0.18,55.92
2002-10,8.0,14.0,15.0,33.0,93.0,20.9,0.21,74.69
2002-11,7.0,14.0,24.5,51.0,104.0,26.67,0.27,120.42
2002-12,10.0,15.0,34.0,56.25,94.0,30.1,0.3,136.03
2003-01,7.0,14.0,37.0,55.0,103.0,30.23,0.31,137.01
2003-02,6.0,14.0,28.0,50.0,89.0,25.89,0.26,116.0
2003-03,13.0,14.0,15.0,33.0,74.0,20.98,0.21,70.13
2003-04,7.0,7.0,15.0,33.0,84.0,17.13,0.17,76.98
2003-05,7.0,7.0,7.0,21.0,53.0,11.73,0.12,51.48
2003-06,0.0,7.0,7.0,10.0,53.0,10.57,0.11,46.32
2003-07,7.0,7.0,15.0,34.0,85.0,17.95,1.09,71.36
2003-08,7.0,14.0,15.0,28.0,64.0,17.72,5.45,55.37
2003-09,13.0,14.0,25.5,44.0,75.0,24.34,0.25,88.46
2003-10,6.0,14.0,24.0,44.0,103.0,23.84,0.24,103.88
2003-11,7.0,14.0,22.0,43.0,99.0,23.04,0.23,109.64
2003-12,13.0,15.0,37.0,61.0,103.0,30.11,0.3,148.18
2004-01,9.0,15.0,36.5,57.0,94.0,29.85,0.3,144.78
2004-02,11.0,14.0,37.0,54.25,89.0,29.47,0.3,142.45
2004-03,13.0,15.0,42.0,72.0,106.0,34.62,0.35,193.71
2004-04,6.0,15.75,53.0,83.0,101.0,39.24,0.4,258.04
2004-05,6.0,7.0,18.0,36.0,53.0,17.1,0.17,88.53
2004-06,14.0,30.75,57.0,72.0,92.0,38.43,0.39,197.63
2004-07,8.0,47.0,62.0,72.0,93.0,43.33,0.44,227.94
2004-08,7.0,37.0,54.0,72.0,99.0,38.69,0.39,202.38
2004-09,0.0,8.0,21.5,38.25,78.0,18.87,0.19,98.17
2004-10,7.0,15.0,30.5,53.0,92.0,27.1,0.27,126.79
2004-11,15.0,18.0,52.0,82.0,106.0,38.17,0.39,254.43
2004-12,16.0,18.0,50.0,75.25,106.0,37.46,0.38,236.24
2005-01,16.0,34.0,52.0,72.0,106.0,39.07,0.39,235.63
2005-02,16.0,32.0,48.0,62.0,83.0,34.56,0.35,173.94
2005-03,16.0,31.0,45.0,58.0,87.0,32.96,0.33,165.25
2005-04,12.0,32.0,46.0,52.0,72.0,30.27,0.31,186.8
2005-05,6.0,32.0,45.0,52.0,72.0,30.41,0.31,193.85
2005-06,9.0,23.0,39.0,47.0,76.0,27.7,0.28,126.87
2005-07,13.0,32.0,47.0,62.0,105.0,34.69,0.35,170.73
2005-08,0.0,52.0,71.5,92.0,105.0,49.79,0.5,298.91
2005-09,13.0,28.0,43.0,58.0,101.0,33.29,0.34,144.02
2005-10,13.0,48.0,70.0,90.0,105.0,49.42,0.5,279.63
2005-11,13.0,50.75,62.0,90.0,105.0,48.12,0.49,279.78
2005-12,10.0,42.0,52.0,72.0,105.0,42.02,0.42,232.52
2006-01,20.0,48.0,72.0,91.0,106.0,49.67,0.5,285.59
2006-02,22.0,42.0,58.0,69.0,94.0,41.61,0.42,190.38
2006-03,21.0,48.75,62.0,78.0,106.0,45.52,0.46,225.52
2006-04,26.0,41.0,52.0,52.0,82.0,35.37,0.36,186.14
2006-05,3.0,32.0,42.0,52.0,105.0,32.27,0.33,158.43
2006-06,0.0,30.0,41.0,47.0,99.0,27.61,0.28,163.81
2006-07,16.0,34.0,43.0,55.0,104.0,34.71,0.35,151.33
2006-08,8.0,35.0,51.0,83.0,105.0,41.48,22.72,226.67
2006-09,6.0,30.0,43.0,62.0,104.0,38.91,127.97,214.0
2006-10,8.0,23.0,36.0,47.0,72.0,28.13,0.28,130.12
2006-11,14.0,39.0,52.0,64.0,105.0,39.16,0.4,211.45
2006-12,14.0,51.0,60.0,80.0,105.0,47.31,23.11,300.42
2007-01,26.0,45.0,59.0,73.0,105.0,46.58,41.22,287.3
2007-02,27.0,46.75,62.0,76.0,104.0,46.46,4.41,289.96
2007-03,20.0,42.0,57.0,71.0,102.0,42.29,1.03,230.4
2007-04,26.0,43.0,51.0,51.0,83.0,35.63,0.36,242.49
2007-05,25.0,42.0,52.0,63.0,104.0,40.16,0.41,213.93
2007-06,15.0,38.0,46.0,51.0,72.0,31.88,0.32,226.78
2007-07,14.0,38.0,51.0,87.0,102.0,43.86,0.44,234.11
2007-08,22.0,38.0,48.0,61.0,103.0,38.76,0.39,189.55
2007-09,21.0,37.0,47.0,60.0,98.0,37.4,0.38,178.39
2007-10,11.0,41.0,51.0,59.0,93.0,37.26,0.38,202.39
2007-11,16.0,51.0,62.0,76.25,103.0,47.04,0.47,266.45
2007-12,14.0,56.0,66.5,82.0,104.0,53.11,66.77,326.29
2008-01,35.0,58.0,72.0,85.0,104.0,52.43,0.53,319.46
2008-02,42.0,62.0,76.0,87.0,104.0,54.09,0.55,330.17
2008-03,30.0,51.0,67.0,85.0,103.0,49.0,3.09,311.25
2008-04,30.0,50.0,50.0,57.0,101.0,40.53,11.2,252.84
2008-05,31.0,52.0,62.0,72.0,101.0,45.37,0.46,247.68
2008-06,32.0,51.0,60.0,70.0,98.0,44.9,19.52,233.32
2008-07,0.0,45.0,54.0,63.0,101.0,41.89,0.42,216.93
2008-08,30.0,42.0,49.0,59.25,101.0,39.62,11.17,191.18
2008-09,27.0,38.0,47.0,51.0,98.0,34.66,11.87,217.85
2008-10,24.0,44.0,57.0,67.0,101.0,42.57,4.28,204.9
2008-11,0.0,46.0,53.0,72.0,102.0,43.21,4.96,238.6
2008-12,39.0,52.0,61.0,73.0,102.0,47.38,5.3,255.08
2009-01,32.0,49.0,57.0,72.0,97.0,44.28,0.45,209.57
2009-02,31.0,51.0,62.0,76.0,101.0,47.49,0.48,234.52
2009-03,41.0,52.0,64.0,77.0,101.0,48.76,0.49,242.8
2009-04,39.0,67.0,81.0,91.0,101.0,57.22,0.58,328.86
2009-05,45.0,66.75,81.0,91.0,101.0,57.34,0.58,307.34
2009-06,40.0,50.0,57.0,70.0,92.0,44.9,16.83,226.16
2009-07,32.0,47.0,50.0,52.0,86.0,39.0,0.39,211.0
2009-08,42.0,50.0,50.0,61.0,85.0,41.55,17.41,228.23
2009-09,13.0,50.0,50.0,50.0,85.0,36.78,0.37,223.56
2009-10,45.0,49.0,58.0,75.0,100.0,46.15,0.47,241.47
2009-11,28.0,51.0,62.0,77.0,102.0,46.85,0.47,257.25
2009-12,50.0,66.0,78.0,89.0,103.0,57.33,45.66,327.04
2010-01,50.0,65.0,78.0,90.0,101.0,55.96,0.57,319.56
2010-02,47.0,52.0,61.0,74.0,96.0,47.52,0.48,272.61
2010-03,46.0,59.0,73.0,87.0,100.0,53.49,0.54,327.61
2010-04,56.0,69.0,81.0,90.0,101.0,58.45,0.59,351.9
2010-05,36.0,47.0,58.0,69.0,101.0,45.07,0.46,228.52
2010-06,31.0,42.0,51.0,57.0,92.0,42.23,91.76,208.57
2010-07,27.0,41.0,46.0,52.0,77.0,37.58,0.38,175.95
2010-08,32.0,41.0,46.0,52.0,77.0,37.45,0.38,170.69
2010-09,0.0,38.0,42.0,47.0,92.0,34.1,0.34,149.75

