year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2016-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09,0.0,241.25,431.0,436.0,447.0,132.34,1.34,12.98
2016-10,0.0,102.0,391.0,440.0,455.0,119.9,1.21,11.55
2016-11,207.0,403.0,412.5,442.0,461.0,162.78,1.64,16.44
2016-12,0.0,413.0,427.0,462.0,481.0,170.58,1.72,17.69
2017-01,0.0,420.0,430.0,467.0,492.0,171.17,1.73,18.15
2017-02,0.0,259.0,382.5,423.0,483.0,132.0,1.33,12.87
2017-03,0.0,0.0,0.0,308.25,466.0,56.7,0.57,5.28
2017-04,0.0,0.0,0.0,0.0,466.0,15.79,0.16,1.58
2017-05,0.0,0.0,0.0,0.0,396.0,3.81,0.04,0.45
2017-06,0.0,0.0,0.0,0.0,441.0,17.34,0.18,1.91
2017-07,0.0,383.0,394.0,426.0,439.0,149.67,1.51,16.62
2017-08,35.0,393.75,424.0,430.0,443.0,166.34,1.68,18.91
2017-09,219.0,389.0,418.0,429.25,442.0,165.22,1.67,18.52
2017-10,0.0,391.0,400.0,413.0,459.0,147.09,1.49,16.71
2017-11,7.0,399.0,404.0,411.0,457.0,162.82,1.64,18.57
2017-12,241.0,412.0,422.0,428.0,470.0,172.44,1.74,19.61
2018-01,230.0,402.75,409.0,416.0,471.0,164.35,1.66,18.65
2018-02,229.0,387.0,409.0,423.0,460.0,158.33,1.6,17.03
2018-03,229.0,392.0,403.0,415.0,452.0,163.56,1.65,18.04

