year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2001-07,0.0,0.0,0.0,309.0,326.0,91.77,0.93,65.21
2001-08,0.0,0.0,296.0,307.0,325.0,114.37,1.15,51.45
2001-09,0.0,0.0,0.0,0.0,308.0,32.78,0.33,15.83
2001-10,0.0,0.0,0.0,0.0,315.0,31.51,0.32,14.83
2001-11,0.0,0.0,0.0,0.0,333.0,1.96,0.02,0.96
2001-12,0.0,0.0,0.0,0.0,338.0,8.15,0.08,5.03
2002-01,0.0,0.0,0.0,0.0,341.0,11.86,0.12,6.76
2002-02,0.0,0.0,0.0,0.0,340.0,2.74,0.03,1.71
2002-03,0.0,0.0,0.0,122.25,333.0,46.68,0.47,22.0
2002-04,0.0,0.0,0.0,0.0,331.0,4.66,0.05,2.4
2002-05,0.0,0.0,0.0,0.0,308.0,7.7,0.08,3.32
2002-06,0.0,0.0,0.0,0.0,319.0,20.62,0.21,9.43
2002-07,0.0,0.0,0.0,157.0,319.0,47.73,0.48,21.51
2002-08,0.0,0.0,0.0,0.0,320.0,35.06,0.35,15.3
2002-09,0.0,0.0,0.0,0.0,319.0,21.17,0.21,9.66
2002-10,0.0,0.0,0.0,0.0,330.0,27.23,0.27,12.46
2002-11,0.0,0.0,0.0,0.0,332.0,31.64,0.32,14.46
2002-12,0.0,0.0,0.0,0.0,332.0,21.76,0.22,10.25
2003-01,0.0,0.0,0.0,0.0,322.0,14.1,0.14,6.39
2003-02,0.0,0.0,0.0,0.0,333.0,3.85,0.04,1.73
2003-03,0.0,0.0,0.0,0.0,26.0,4.54,0.05,122.24
2003-04,0.0,0.0,0.0,0.0,134.0,7.18,0.07,193.49
2003-05,0.0,0.0,175.5,295.5,331.0,103.06,1.04,68.1
2003-06,0.0,0.0,157.0,303.0,317.0,106.98,1.08,12.7
2003-07,0.0,118.75,184.0,295.0,314.0,130.47,1.32,15.18
2003-08,0.0,155.0,296.0,303.0,313.0,165.71,1.67,16.98
2003-09,0.0,154.0,247.0,302.0,315.0,152.07,1.54,16.29
