year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2001-01,23.0,32.0,38.0,45.0,79.0,24.33,0.25,36.65
2001-02,10.0,31.0,37.0,43.0,70.0,23.34,0.24,32.4
2001-03,23.0,30.0,37.0,46.0,80.0,24.33,0.25,39.9
2001-04,23.0,33.0,41.0,52.0,80.0,26.59,0.27,53.87
2001-05,0.0,35.0,47.0,58.0,79.0,28.44,2.87,64.6
2001-06,22.0,33.75,44.0,55.0,75.0,27.12,0.27,55.54
2001-07,0.0,34.0,44.0,54.0,75.0,26.98,0.27,53.91
2001-08,23.0,38.0,48.0,61.0,79.0,30.26,0.31,67.55
2001-09,23.0,37.0,46.0,59.25,75.0,29.23,0.3,62.28
2001-10,0.0,31.0,41.0,51.0,75.0,24.29,0.25,45.67
2001-11,24.0,34.0,41.0,48.0,75.0,25.49,0.26,43.16
2001-12,0.0,31.0,36.5,43.0,71.0,23.15,0.23,33.89
2002-01,24.0,29.0,36.0,43.0,72.0,22.79,0.23,32.77
2002-02,23.0,30.0,35.5,42.0,66.0,22.49,0.23,31.84
2002-03,0.0,0.0,0.0,29.0,64.0,7.13,0.07,10.37
2002-04,0.0,0.0,29.0,37.0,63.0,15.69,0.16,20.89
2002-05,0.0,29.0,39.0,52.25,79.0,25.22,0.25,48.06
2002-06,23.0,33.0,45.0,65.0,80.0,28.98,0.29,69.62
2002-07,23.0,41.0,62.0,75.0,79.0,34.04,0.34,93.15
2002-08,0.0,30.0,46.0,65.0,78.0,26.42,0.27,62.21
2002-09,23.0,33.0,47.5,65.0,75.0,28.59,0.29,62.91
2002-10,23.0,30.0,37.0,45.0,74.0,23.4,0.24,35.85
2002-11,0.0,28.0,35.0,43.0,68.0,21.9,0.22,30.66
2002-12,23.0,30.0,37.0,44.0,61.0,23.52,1.5,33.32
2003-01,23.0,26.0,31.0,38.0,74.0,21.13,0.21,27.38
2003-02,0.0,0.0,27.0,37.0,72.0,15.5,0.16,22.65
2003-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05,0.0,0.0,0.0,0.0,72.0,4.54,0.05,7.34
2003-06,0.0,27.0,31.0,44.0,73.0,22.85,0.23,39.55
2003-07,23.0,27.0,33.0,50.25,74.0,24.23,0.24,44.62
2003-08,23.0,26.0,32.0,49.0,73.0,23.91,0.24,41.39
2003-09,0.0,25.0,29.0,44.0,67.0,19.54,0.2,33.43
2003-10,0.0,0.0,36.0,51.0,73.0,19.74,0.2,40.44
2003-11,23.0,28.0,35.0,41.0,61.0,22.09,0.22,31.4
2003-12,23.0,29.0,35.0,44.0,60.0,22.93,0.23,33.81
2004-01,0.0,27.0,33.0,40.0,59.0,21.7,0.22,28.93
2004-02,0.0,25.0,31.0,38.0,57.0,18.71,0.19,23.98
2004-03,0.0,0.0,0.0,0.0,61.0,2.24,0.02,3.37
2004-04,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07
2004-05,0.0,0.0,0.0,0.0,68.0,5.27,0.05,7.16
2004-06,0.0,0.0,30.0,44.0,74.0,17.73,0.18,34.15
2004-07,0.0,30.0,41.0,57.0,74.0,26.48,0.27,50.72
2004-08,12.0,29.0,38.0,56.25,75.0,26.01,0.26,51.01
2004-09,24.0,27.0,33.0,45.0,75.0,23.64,0.24,41.03
2004-10,0.0,0.0,0.0,0.0,73.0,3.18,0.03,6.1
2004-11,0.0,24.0,30.0,37.0,59.0,21.66,0.22,28.23
2004-12,23.0,27.0,31.0,36.0,57.0,20.87,0.21,25.15
2005-01,23.0,28.0,32.0,37.0,54.0,21.0,0.21,25.89
2005-02,9.0,26.0,30.0,35.0,58.0,20.14,0.2,23.75
2005-03,23.0,26.0,29.0,34.0,56.0,19.67,0.2,23.88
2005-04,0.0,26.0,31.0,36.0,58.0,20.36,0.21,25.49
2005-05,0.0,25.0,33.0,42.0,75.0,20.52,0.21,29.95
2005-06,23.0,31.0,36.0,45.0,73.0,23.73,0.24,36.13
2005-07,24.0,28.0,34.0,43.0,72.0,22.85,0.23,31.05
2005-08,0.0,27.0,30.5,39.0,69.0,22.05,3.68,28.45
2005-09,0.0,26.0,30.0,42.0,73.0,22.6,1.81,36.32
2005-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12,0.0,0.0,0.0,0.0,72.0,4.55,0.05,6.54
2006-01,0.0,26.0,29.0,34.0,59.0,21.1,0.21,24.9
2006-02,23.0,28.0,32.0,37.0,56.0,23.11,0.23,28.84
2006-03,23.0,28.0,32.0,36.0,50.0,22.9,0.23,27.54
2006-04,0.0,0.0,0.0,32.0,73.0,10.31,0.1,14.12
2006-05,0.0,0.0,25.0,39.0,74.0,14.94,0.15,24.01
2006-06,3.0,28.0,36.0,44.25,74.0,27.01,0.27,39.94
2006-07,23.0,28.0,36.0,48.0,72.0,28.45,0.29,41.26
2006-08,23.0,29.0,36.0,44.0,75.0,28.39,0.29,40.57
2006-09,6.0,30.0,37.0,48.0,73.0,29.3,0.3,46.56
2006-10,24.0,30.0,37.0,44.0,69.0,27.21,0.27,37.54
2006-11,24.0,30.0,35.0,41.0,68.0,25.66,5.41,33.36
2006-12,24.0,30.0,35.0,41.0,59.0,24.86,0.25,30.19
2007-01,24.0,31.0,35.0,40.0,63.0,24.4,0.25,28.49
2007-02,24.0,30.0,35.0,40.0,68.0,24.22,0.24,27.86
2007-03,24.0,29.0,33.0,39.0,75.0,23.9,0.24,29.22
2007-04,0.0,0.0,0.0,31.0,54.0,10.12,0.1,12.3
2007-05,0.0,25.75,32.0,40.0,73.0,20.92,0.21,32.15
2007-06,25.0,31.0,37.0,47.0,73.0,27.45,0.28,49.35
2007-07,23.0,34.0,43.0,55.0,74.0,30.58,0.31,56.55
2007-08,24.0,37.0,50.5,63.0,74.0,33.96,0.34,71.73
2007-09,0.0,31.0,38.0,50.0,74.0,28.07,0.28,47.76
2007-10,24.0,31.0,39.0,48.0,75.0,27.56,0.28,44.13
2007-11,24.0,32.0,38.0,44.0,69.0,26.17,0.26,38.79
2007-12,0.0,32.0,37.0,42.0,65.0,25.18,0.25,34.97
2008-01,0.0,0.0,0.0,26.0,52.0,8.6,0.09,9.69
2008-02,0.0,27.0,35.0,41.0,69.0,20.84,0.21,35.08
2008-03,24.0,31.0,37.0,42.0,62.0,25.08,0.25,41.53
2008-04,0.0,27.0,32.0,42.0,69.0,22.78,0.23,41.05
2008-05,0.0,29.0,36.0,47.0,72.0,23.44,0.24,48.07
2008-06,25.0,28.0,33.0,42.0,113.0,23.23,0.23,39.9
2008-07,25.0,26.0,28.0,46.25,121.0,25.64,0.26,23.79
2008-08,25.0,27.0,32.0,49.0,167.0,27.02,0.27,28.97
2008-09,25.0,32.0,45.0,64.0,169.0,33.48,0.34,55.69
2008-10,25.0,34.0,46.0,61.0,162.0,32.73,0.33,61.08
2008-11,0.0,31.0,39.0,49.0,147.0,26.05,0.26,51.51
2008-12,20.0,30.0,38.5,50.0,147.0,25.85,0.26,51.8
2009-01,25.0,34.0,41.0,49.0,148.0,26.82,0.26,52.95
2009-02,25.0,33.0,40.0,46.0,137.0,25.99,0.26,47.43
2009-03,0.0,25.0,33.0,41.0,100.0,21.35,0.22,40.98
2009-04,0.0,0.0,0.0,0.0,70.0,1.78,0.02,0.37
2009-05,0.0,0.0,0.0,0.0,94.0,29.54,0.3,45.32
2009-06,0.0,0.0,0.0,0.0,92.0,37.15,0.38,83.68
2009-07,0.0,42.0,63.0,80.0,165.0,40.04,0.4,78.12
2009-08,0.0,37.75,53.5,73.0,165.0,37.65,0.38,70.52
2009-09,23.0,43.0,61.0,77.0,156.0,39.49,0.4,86.73
2009-10,0.0,31.0,48.0,60.0,145.0,26.57,0.27,66.57
2009-11,5.0,34.0,45.0,56.0,145.0,28.74,0.29,56.28
2009-12,24.0,40.0,52.0,62.0,153.0,32.97,0.33,59.51
2010-01,10.0,43.0,50.0,57.0,119.0,29.79,0.3,65.21
2010-02,24.0,42.0,50.0,57.0,111.0,29.97,0.3,63.49
2010-03,0.0,0.0,0.0,27.5,94.0,8.47,0.09,9.93
2010-04,0.0,0.0,0.0,18.0,96.0,6.66,0.07,8.17
2010-05,23.0,38.75,47.5,57.0,170.0,29.47,0.3,67.11
2010-06,24.0,36.0,50.0,69.0,159.0,33.41,0.34,67.21
2010-07,24.0,44.0,60.0,85.0,160.0,40.74,0.41,73.75
2010-08,23.0,52.0,71.0,112.0,170.0,50.22,0.51,87.25
2010-09,24.0,35.0,57.0,84.0,169.0,39.3,0.4,69.55
2010-10,23.0,28.0,38.0,63.0,149.0,30.86,0.31,38.62
2010-11,24.0,49.0,57.0,68.0,168.0,36.7,0.37,87.48
2010-12,23.0,46.0,54.0,68.0,163.0,37.47,0.38,78.25
2011-01,0.0,39.0,46.0,60.0,164.0,33.81,0.34,64.03
2011-02,0.0,42.75,58.5,92.0,165.0,44.69,0.45,60.47
2011-03,0.0,20.0,31.0,61.0,97.0,25.02,0.25,4.43
2011-04,0.0,39.0,49.0,69.0,144.0,36.03,0.36,54.27
2011-05,0.0,25.0,30.0,43.0,146.0,25.1,0.25,33.95
2011-06,24.0,26.0,38.0,57.25,133.0,32.99,0.33,45.71
2011-07,24.0,38.0,53.0,76.0,139.0,43.33,0.44,60.25
2011-08,0.0,25.0,55.0,79.0,143.0,41.32,0.42,43.28
2011-09,0.0,0.0,24.0,56.0,117.0,22.88,0.23,17.62
2011-10,0.0,0.0,0.0,20.0,95.0,9.13,0.09,1.68
2011-11,0.0,0.0,0.0,0.0,96.0,6.22,0.06,1.26
2011-12,0.0,0.0,20.0,65.25,96.0,21.36,0.22,3.76
2012-01,0.0,0.0,0.0,0.0,95.0,3.69,0.04,1.12
2012-02,0.0,0.0,0.0,0.0,96.0,4.0,0.04,0.79
2012-03,0.0,0.0,0.0,0.0,80.0,0.63,0.01,0.16
2012-04,0.0,24.0,24.0,31.25,146.0,17.86,0.18,16.9
2012-05,0.0,33.0,48.5,65.0,136.0,28.39,0.29,51.42
2012-06,0.0,19.0,33.0,48.0,118.0,20.9,0.21,16.29
2012-07,0.0,12.5,45.0,63.0,157.0,25.67,0.26,20.39
2012-08,0.0,32.0,58.0,96.0,169.0,37.31,0.38,39.76
2012-09,0.0,24.0,38.0,73.0,170.0,29.71,0.3,25.23
2012-10,0.0,0.0,38.5,68.0,161.0,23.98,0.24,11.77
2012-11,0.0,0.0,0.0,0.0,89.0,4.01,0.04,0.88
2012-12,0.0,0.0,0.0,20.0,96.0,7.02,0.07,1.49
2013-01,0.0,0.0,18.5,48.0,96.0,18.31,0.18,3.94
2013-02,0.0,0.0,0.0,17.0,96.0,6.37,0.06,1.42
2013-03,0.0,0.0,24.5,43.0,126.0,17.52,0.18,15.56
2013-04,0.0,23.0,24.0,41.0,156.0,23.96,0.24,21.05
2013-05,10.0,26.0,30.0,47.0,123.0,26.16,0.26,25.48
2013-06,25.0,26.0,33.0,63.0,123.0,30.71,0.31,37.27
2013-07,25.0,26.0,41.0,74.0,137.0,34.23,0.35,44.59
2013-08,0.0,26.0,46.0,74.0,131.0,34.64,0.35,36.32
2013-09,0.0,25.0,26.0,38.0,122.0,23.15,0.23,27.23
2013-10,25.0,26.0,28.0,47.25,124.0,25.66,0.26,40.47
2013-11,25.0,27.0,44.0,64.0,129.0,32.52,0.33,59.77
2013-12,25.0,26.0,33.0,52.0,154.0,28.68,0.29,44.15
2014-01,25.0,26.0,45.0,69.0,126.0,33.75,0.34,30.18
2014-02,25.0,25.0,26.0,35.0,141.0,22.15,0.22,28.3
2014-03,0.0,25.0,27.0,43.0,131.0,27.55,0.28,26.25
2014-04,0.0,0.0,25.0,36.0,119.0,15.21,0.15,14.23
2014-05,0.0,0.0,3.0,38.0,96.0,12.79,0.13,2.83
2014-06,0.0,25.0,26.0,48.0,122.0,25.4,0.26,25.23
2014-07,25.0,26.0,53.0,101.0,170.0,42.24,0.43,35.22
2014-08,25.0,25.0,43.0,78.25,153.0,35.69,0.36,26.51
2014-09,0.0,25.0,32.5,79.0,136.0,33.22,0.34,22.36
2014-10,0.0,25.0,32.5,64.0,168.0,29.21,0.29,33.89
2014-11,25.0,25.0,26.0,65.0,144.0,32.36,0.33,26.55
2014-12,25.0,25.0,28.0,46.25,142.0,27.62,0.28,27.58
2015-01,0.0,0.0,0.0,25.0,96.0,8.29,0.08,8.28
2015-02,0.0,27.75,40.0,54.0,138.0,28.11,0.28,40.76
2015-03,22.0,26.0,33.0,52.0,121.0,27.98,0.28,54.64
2015-04,25.0,41.0,52.0,68.0,168.0,37.34,0.38,73.48
2015-05,25.0,29.0,42.5,62.0,138.0,32.36,0.33,60.94
2015-06,0.0,25.0,28.0,44.0,134.0,23.74,0.24,37.13
2015-07,25.0,26.0,33.0,51.0,112.0,27.64,0.28,48.19
2015-08,0.0,25.0,37.0,66.0,126.0,30.51,0.31,47.31
