year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2012-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06,0.0,0.0,0.0,177.0,327.0,25.41,0.26,4.51
2012-07,0.0,196.0,271.0,289.0,305.0,93.41,0.94,11.63
2012-08,0.0,191.0,267.0,279.0,310.0,88.05,0.89,10.54
2012-09,0.0,0.0,0.0,191.0,297.0,24.57,0.25,3.7
2012-10,0.0,0.0,0.0,0.0,307.0,13.69,0.14,2.16
2012-11,0.0,0.0,0.0,0.0,321.0,9.43,0.1,2.65
2012-12,0.0,0.0,0.0,0.0,318.0,12.03,0.12,2.84
2013-01,0.0,191.0,218.0,223.0,328.0,71.59,0.72,9.81
2013-02,0.0,0.0,0.0,0.0,318.0,9.92,0.1,1.6
2013-03,0.0,0.0,0.0,0.0,318.0,21.99,0.22,3.14
2013-04,0.0,0.0,0.0,0.0,318.0,19.91,0.2,4.19
2013-05,0.0,0.0,0.0,147.75,311.0,25.03,0.25,16.05
2013-06,0.0,191.0,260.5,292.0,312.0,84.68,0.85,9.91
2013-07,177.0,187.0,265.0,287.0,305.0,94.5,0.95,10.17
2013-08,180.0,263.0,275.0,285.0,302.0,100.26,1.01,11.18
2013-09,0.0,274.75,285.0,294.0,307.0,99.14,1.0,12.16
2013-10,0.0,0.0,0.0,0.0,308.0,6.49,0.07,2.16
2013-11,0.0,0.0,306.0,311.0,327.0,77.25,0.78,9.5
2013-12,227.0,308.0,314.0,321.0,330.0,114.51,1.16,13.29
2014-01,211.0,306.0,309.0,311.0,325.0,114.84,1.16,13.34
2014-02,0.0,298.0,304.0,308.0,324.0,97.05,0.98,11.78
2014-03,0.0,0.0,0.0,0.0,306.0,8.75,0.09,1.48
2014-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06,0.0,0.0,0.0,0.0,295.0,14.38,0.15,5.18
2014-07,0.0,185.0,277.0,289.0,302.0,80.68,0.81,11.37
2014-08,213.0,284.0,287.0,292.0,300.0,109.17,1.1,13.63
2014-09,0.0,270.0,280.0,288.0,308.0,92.9,0.94,12.28
2014-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,0.0,0.0,0.0,271.75,329.0,47.59,0.48,7.65
2014-12,0.0,0.0,0.0,0.0,316.0,25.7,0.26,4.8
2015-01,205.0,299.0,305.0,310.0,319.0,111.15,1.12,14.5
2015-02,0.0,0.0,0.0,0.0,151.0,0.09,0.0,0.08
2015-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04,0.0,0.0,0.0,188.5,314.0,28.11,0.28,4.4
2015-05,185.0,283.0,291.0,296.0,308.0,107.19,1.08,13.9
2015-06,0.0,282.0,287.0,291.0,299.0,106.53,1.08,14.12
2015-07,224.0,280.0,284.0,288.0,302.0,106.37,1.07,13.95
2015-08,245.0,283.0,286.0,290.0,299.0,108.21,1.09,12.16
2015-09,0.0,281.0,287.0,291.25,306.0,99.36,1.0,11.56
2015-10,0.0,0.0,287.0,294.0,306.0,68.58,0.69,8.53
2015-11,0.0,0.0,198.0,311.0,319.0,57.53,0.58,6.93
2015-12,197.0,300.0,304.0,313.0,323.0,113.98,1.15,12.77
2016-01,266.0,304.0,308.0,311.0,324.0,116.35,1.17,13.26
2016-02,0.0,266.0,306.0,312.0,317.0,107.64,1.09,13.08
2016-03,0.0,0.0,200.0,291.0,315.0,64.65,0.65,7.72
2016-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05,0.0,0.0,0.0,275.0,308.0,40.23,0.41,6.41
2016-06,192.0,284.0,288.0,293.0,303.0,108.89,1.1,12.53
2016-07,192.0,284.0,287.0,291.0,299.0,110.46,1.12,11.41
2016-08,201.0,284.0,287.0,291.0,301.0,110.84,1.12,11.78
2016-09,0.0,265.0,287.0,294.0,305.0,105.08,1.06,11.47
2016-10,0.0,0.0,0.0,0.0,310.0,17.89,0.18,2.68
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,0.0,0.0,0.0,131.5,326.0,27.88,0.28,6.63
2017-01,294.0,307.0,315.0,322.0,331.0,117.94,1.19,12.63
2017-02,0.0,0.0,200.0,228.25,312.0,51.33,0.52,6.04
2017-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,0.0,0.0,0.0,200.0,295.0,33.15,0.33,5.85
2017-07,184.0,282.0,286.0,289.0,298.0,105.56,1.07,12.27
2017-08,163.0,282.0,286.0,289.0,305.0,110.27,1.11,12.84
2017-09,0.0,278.75,283.0,290.0,303.0,104.38,1.05,12.29
2017-10,0.0,0.0,0.0,0.0,312.0,15.6,0.16,2.47
2017-11,68.0,296.0,303.0,308.0,316.0,108.48,1.1,12.71
2017-12,0.0,309.0,313.0,316.0,325.0,114.81,1.16,12.98
2018-01,0.0,0.0,0.0,207.0,316.0,28.4,0.29,3.45
2018-02,0.0,0.0,0.0,208.0,318.0,30.96,0.31,4.43
2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

