year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2007-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06,0.0,37.0,38.0,39.0,41.0,22.83,0.23,5.44
2007-07,0.0,37.0,38.0,39.0,42.0,23.7,0.24,5.68
2007-08,0.0,37.0,38.0,39.0,40.0,22.68,0.23,5.41
2007-09,0.0,37.0,38.0,39.0,41.0,18.42,0.19,4.43
2007-10,37.0,39.0,40.0,40.0,42.0,24.42,0.25,5.6
2007-11,0.0,39.0,40.0,41.0,42.0,24.1,0.24,5.72
2007-12,0.0,40.0,41.0,42.0,42.0,23.79,0.24,5.74
2008-01,0.0,40.0,41.0,42.0,42.0,25.26,0.26,6.14
2008-02,34.0,40.0,40.0,41.0,42.0,25.75,0.26,6.28
2008-03,0.0,40.0,40.0,41.0,42.0,24.35,0.25,5.85
2008-04,0.0,0.0,40.0,41.0,42.0,18.66,0.19,4.44
2008-05,0.0,37.0,39.0,39.0,41.0,20.42,0.21,4.9
2008-06,36.0,37.0,38.0,39.0,41.0,24.96,0.25,5.83
2008-07,0.0,36.0,37.0,38.0,39.0,22.58,0.23,5.31
2008-08,34.0,37.0,37.0,38.0,40.0,23.03,0.23,5.42
2008-09,0.0,37.0,38.0,39.0,40.0,23.26,0.23,5.49
2008-10,37.0,39.0,40.0,40.0,42.0,24.01,0.24,5.67
2008-11,0.0,39.0,40.0,41.0,42.0,24.44,0.25,5.84
2008-12,34.0,40.0,41.0,42.0,42.0,25.5,0.26,6.06
2009-01,0.0,40.0,41.0,42.0,42.0,25.61,0.26,6.15
2009-02,38.0,40.0,40.0,41.0,42.0,26.54,0.27,6.1
2009-03,0.0,40.0,40.0,41.0,42.0,25.65,0.26,5.91
2009-04,35.0,39.0,40.0,40.0,42.0,27.26,0.28,6.34
2009-05,35.0,37.0,38.0,39.0,41.0,24.78,0.25,5.89
2009-06,0.0,37.0,38.0,39.0,41.0,23.5,0.24,5.68
2009-07,35.0,36.75,37.0,38.0,40.0,25.98,0.26,6.39
2009-08,35.0,37.0,38.0,38.0,41.0,26.04,0.26,5.97
2009-09,0.0,37.0,38.0,39.0,41.0,23.38,0.24,5.19
2009-10,0.0,0.0,0.0,0.0,41.0,4.42,0.04,0.98
2009-11,35.0,40.0,41.0,42.0,42.0,28.58,0.29,6.34
2009-12,39.0,41.0,41.0,42.0,42.0,28.38,0.29,6.35
2010-01,0.0,40.0,41.0,42.0,42.0,28.4,0.29,6.48
2010-02,0.0,40.0,40.0,41.0,42.0,27.85,0.28,6.44
2010-03,39.0,40.0,41.0,41.0,42.0,28.09,0.28,6.55
2010-04,35.0,40.0,40.0,41.0,42.0,27.76,0.28,6.42
2010-05,33.0,39.0,40.0,41.0,42.0,28.5,0.29,6.62
2010-06,0.0,38.0,38.0,39.0,41.0,26.96,0.27,6.24
2010-07,33.0,37.0,38.0,39.0,41.0,27.44,0.28,6.31
2010-08,33.0,37.0,38.0,39.0,41.0,27.63,0.28,6.34
2010-09,32.0,37.0,38.0,39.0,40.0,27.68,0.28,6.45
2010-10,36.0,38.0,39.0,40.0,42.0,27.31,0.28,6.41
2010-11,33.0,39.0,40.0,41.0,42.0,28.21,0.28,6.69
2010-12,0.0,40.0,40.0,41.0,42.0,27.87,0.28,6.54
2011-01,38.0,40.0,41.0,42.0,42.0,28.81,0.29,6.77
2011-02,38.0,40.0,41.0,41.0,42.0,28.83,0.29,6.75
2011-03,0.0,39.0,40.0,40.0,42.0,24.4,0.25,5.66
2011-04,0.0,0.0,40.0,41.0,42.0,20.44,0.21,4.66
2011-05,0.0,40.0,40.0,41.0,42.0,28.78,0.29,6.46
2011-06,35.0,38.0,39.0,40.0,42.0,27.76,0.28,6.31
2011-07,35.0,37.0,38.0,38.0,40.0,27.51,0.28,6.3
2011-08,35.0,37.0,38.0,39.0,41.0,26.07,0.26,5.94
2011-09,36.0,37.0,38.0,39.0,40.0,25.37,0.26,5.8
2011-10,0.0,38.0,39.0,40.0,42.0,25.54,0.26,5.93
2011-11,0.0,40.0,40.0,41.0,42.0,25.53,0.26,5.89
2011-12,0.0,34.0,40.0,42.0,42.0,24.68,0.25,5.67
2012-01,30.0,38.0,40.0,41.0,43.0,27.1,0.27,6.19
2012-02,32.0,40.0,41.0,41.0,43.0,28.55,0.29,6.51
2012-03,30.0,33.0,40.0,41.0,43.0,26.78,0.27,6.07
2012-04,0.0,37.0,39.0,40.0,42.0,26.09,0.26,5.93
2012-05,31.0,38.0,38.0,39.0,40.0,27.55,0.28,6.32
2012-06,35.0,37.0,38.0,39.0,40.0,28.34,0.29,6.42
2012-07,35.0,36.0,37.0,38.0,39.0,26.42,0.27,6.1
2012-08,34.0,35.0,36.0,37.0,38.0,25.78,0.26,6.05
2012-09,35.0,36.0,37.0,37.0,39.0,26.91,0.27,6.28
2012-10,0.0,37.0,38.0,39.0,41.0,25.68,0.26,5.95
2012-11,0.0,0.0,0.0,38.0,41.0,9.2,0.09,4.17
2012-12,0.0,0.0,0.0,0.0,39.0,0.89,0.01,0.21
2013-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03,0.0,0.0,0.0,39.0,41.0,14.52,0.15,3.37
2013-04,31.0,37.0,38.0,39.0,42.0,29.48,0.3,6.73
2013-05,0.0,32.0,37.0,38.0,40.0,25.81,0.26,5.92
2013-06,0.0,36.0,37.0,38.0,40.0,26.39,0.27,6.01
2013-07,34.0,36.0,36.0,37.0,39.0,27.26,0.28,6.15
2013-08,34.0,36.0,37.0,37.0,39.0,26.96,0.27,6.07
2013-09,34.0,36.0,37.0,38.0,40.0,27.16,0.27,6.02
2013-10,28.0,37.0,38.0,39.0,40.0,27.48,0.28,6.1
2013-11,31.0,38.0,39.0,39.0,41.0,28.02,0.28,6.23
2013-12,30.0,39.0,40.0,41.0,43.0,29.12,0.29,6.44
2014-01,30.0,38.0,39.0,40.0,41.0,27.85,0.28,6.19
2014-02,0.0,0.0,38.0,39.0,41.0,16.85,0.17,3.76
2014-03,30.0,33.0,39.0,39.0,41.0,27.93,0.28,6.12
2014-04,30.0,37.0,38.0,39.0,41.0,27.63,0.28,6.08
2014-05,0.0,32.0,37.0,38.0,39.0,22.71,0.23,4.99
2014-06,35.0,37.0,37.0,38.0,40.0,27.99,0.28,6.19
2014-07,35.0,36.0,36.0,37.0,38.0,27.63,0.28,6.11
2014-08,0.0,36.0,37.0,37.0,39.0,27.04,0.27,5.97
2014-09,35.0,36.0,37.0,38.0,39.0,27.9,0.28,6.14
2014-10,30.0,37.0,38.0,39.0,40.0,27.95,0.28,6.17
2014-11,0.0,38.0,39.0,40.0,41.0,27.86,0.28,6.28
2014-12,30.0,31.0,32.0,39.0,42.0,25.84,0.26,5.94
2015-01,30.0,38.0,39.0,40.0,42.0,27.8,0.28,6.33
2015-02,0.0,30.0,38.0,39.0,41.0,21.54,0.22,4.64
2015-03,0.0,0.0,37.0,38.0,40.0,18.98,0.19,4.35
2015-04,30.0,37.0,38.0,39.0,41.0,26.71,0.27,6.17
2015-05,30.0,37.0,38.0,38.0,39.0,26.41,0.27,6.14
2015-06,0.0,36.0,37.0,37.0,39.0,26.04,0.26,6.18
2015-07,35.0,36.0,37.0,37.0,38.0,27.29,0.28,6.41
2015-08,31.0,36.0,37.0,37.0,38.0,27.25,0.28,6.38
2015-09,0.0,36.0,37.0,37.0,38.0,23.61,0.24,5.53
2015-10,0.0,37.0,38.0,38.0,39.0,26.3,0.27,6.1
2015-11,0.0,30.0,38.0,39.0,41.0,20.85,0.21,4.89
2015-12,0.0,31.0,39.0,40.0,42.0,26.04,0.26,6.03
2016-01,30.0,38.0,39.0,39.0,42.0,28.45,0.29,6.65
2016-02,0.0,0.0,0.0,38.0,41.0,12.36,0.12,2.89
2016-03,0.0,34.0,39.0,40.0,42.0,26.43,0.27,5.95
2016-04,31.0,33.0,39.0,40.0,42.0,27.21,0.27,5.81
2016-05,0.0,0.0,32.0,38.0,41.0,17.79,0.18,3.87
2016-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07,0.0,0.0,36.5,38.0,40.0,15.77,0.16,3.39
2016-08,36.0,37.0,38.0,39.0,40.0,27.67,0.28,5.99
2016-09,36.0,37.0,38.0,39.0,40.0,27.9,0.28,5.95
2016-10,0.0,31.0,34.0,39.0,41.0,23.95,0.24,5.01
2016-11,30.0,32.0,39.0,40.0,42.0,26.68,0.27,5.57
2016-12,0.0,33.0,40.0,41.0,43.0,26.99,0.27,5.66
2017-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,0.0,0.0,0.0,42.0,42.0,11.51,0.12,2.72
2017-05,42.0,42.0,42.0,42.0,42.0,34.4,0.35,8.76
2017-06,42.0,42.0,42.0,42.0,42.0,34.4,0.35,29.28
2017-07,42.0,42.0,42.0,42.0,42.0,34.4,0.35,1326.12
2017-08,42.0,42.0,42.0,42.0,42.0,34.4,0.35,1326.12
2017-09,42.0,42.0,42.0,42.0,42.0,34.4,0.35,1326.12
2017-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

