year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2007-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09,0.0,0.0,0.0,122.0,155.0,18.04,0.18,1.24
2007-10,0.0,0.0,0.0,122.0,167.0,21.56,0.22,1.71
2007-11,0.0,0.0,40.0,114.0,171.0,25.43,0.26,2.81
2007-12,0.0,0.0,93.5,123.25,135.0,31.59,0.32,3.6
2008-01,0.0,114.0,123.0,124.0,160.0,49.77,0.5,4.94
2008-02,44.0,119.0,124.0,125.0,163.0,51.67,0.52,5.32
2008-03,0.0,80.75,119.0,123.0,127.0,45.41,0.46,4.43
2008-04,0.0,0.0,99.5,123.0,127.0,30.21,0.31,2.2
2008-05,0.0,0.0,0.0,97.0,145.0,18.16,0.18,1.62
2008-06,0.0,0.0,47.5,99.0,161.0,25.51,0.26,1.93
2008-07,0.0,53.0,100.0,123.0,161.0,42.17,0.43,2.34
2008-08,0.0,0.0,112.0,141.0,163.0,42.96,0.43,3.39
2008-09,0.0,104.0,118.0,140.0,161.0,57.43,0.58,4.97
2008-10,0.0,58.0,109.0,118.25,160.0,40.74,0.41,3.72
2008-11,0.0,0.0,53.5,80.5,151.0,22.97,0.23,2.6
2008-12,37.0,60.0,88.0,118.0,166.0,38.4,0.39,4.21
2009-01,0.0,47.0,61.0,108.0,129.0,30.6,0.31,3.6
2009-02,0.0,44.0,106.0,118.0,128.0,34.82,0.35,3.9
2009-03,0.0,0.0,0.0,113.0,170.0,21.38,0.11,2.46
2009-04,74.0,79.0,110.0,120.0,164.0,46.79,0.47,4.48
2009-05,0.0,0.0,78.0,109.0,160.0,27.08,0.27,2.92
2009-06,0.0,76.75,85.0,103.0,157.0,33.53,0.34,3.69
2009-07,38.0,80.0,94.0,112.0,155.0,42.27,0.43,4.6
2009-08,0.0,70.0,88.5,111.25,155.0,37.4,0.38,4.1
2009-09,37.0,86.75,109.0,118.0,157.0,45.75,0.46,5.01
2009-10,0.0,60.0,111.0,120.0,158.0,38.4,0.39,4.22
2009-11,0.0,110.0,122.0,130.0,163.0,51.57,0.52,5.64
2009-12,0.0,110.0,122.0,128.0,169.0,51.09,0.52,5.6
2010-01,0.0,82.75,114.0,122.0,155.0,39.89,0.4,4.39
2010-02,0.0,0.0,107.0,120.0,158.0,32.87,0.33,3.65
2010-03,0.0,0.0,0.0,118.25,161.0,23.04,0.23,2.59
2010-04,0.0,0.0,0.0,0.0,58.0,0.73,0.01,0.14
2010-05,0.0,0.0,0.0,0.0,118.0,1.12,0.01,0.13
2010-06,0.0,0.0,0.0,0.0,155.0,6.82,0.07,0.89
2010-07,0.0,88.0,108.5,118.0,157.0,43.21,0.44,4.79
2010-08,41.0,105.0,115.0,120.0,159.0,49.39,0.5,5.39
2010-09,78.0,111.0,119.0,124.0,159.0,52.77,0.53,5.76
2010-10,0.0,0.0,88.5,116.0,160.0,25.88,0.26,2.86
2010-11,0.0,0.0,97.0,120.0,152.0,26.91,0.27,3.04
2010-12,0.0,0.0,0.0,0.0,161.0,7.11,0.07,0.81
2011-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05,0.0,0.0,0.0,0.0,47.0,0.35,0.0,0.08
2011-06,0.0,0.0,0.0,0.0,150.0,4.18,0.04,0.51
2011-07,0.0,0.0,0.0,100.0,154.0,22.42,0.23,2.52
2011-08,0.0,0.0,0.0,115.0,159.0,21.22,0.21,2.4
2011-09,0.0,0.0,108.0,120.0,146.0,31.95,0.32,3.55
2011-10,0.0,0.0,0.0,0.0,30.0,0.11,0.0,0.03
2011-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,0.0,0.0,0.0,0.0,144.0,2.74,0.03,0.3
2012-01,0.0,0.0,0.0,0.0,144.0,3.08,0.03,0.33
2012-02,0.0,0.0,80.5,122.0,165.0,26.41,0.27,2.75
2012-03,0.0,0.0,0.0,0.0,162.0,7.05,0.07,0.74
2012-04,0.0,0.0,0.0,51.0,82.0,11.78,0.12,1.32
2012-05,0.0,0.0,46.0,78.0,149.0,21.26,0.21,2.3
2012-06,0.0,0.0,79.0,102.0,150.0,27.62,0.28,2.87
2012-07,0.0,84.0,101.0,119.0,149.0,46.14,0.47,4.78
2012-08,36.0,96.0,116.0,135.0,149.0,50.05,0.51,5.12
2012-09,0.0,97.75,116.0,133.0,159.0,46.95,0.47,4.77
2012-10,0.0,92.0,112.0,125.0,158.0,41.95,0.42,4.22
2012-11,0.0,102.0,122.0,132.0,165.0,46.6,0.47,5.52
2012-12,0.0,0.0,91.0,122.0,165.0,32.36,0.33,3.83
2013-01,0.0,48.0,58.0,61.0,143.0,22.35,0.23,2.67
2013-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03,0.0,0.0,0.0,0.0,103.0,2.39,0.02,0.42
2013-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05,0.0,0.0,58.0,102.0,160.0,26.78,0.27,3.28
2013-06,53.0,87.0,105.0,118.0,157.0,47.68,0.48,5.48
2013-07,41.0,98.0,111.5,127.0,158.0,52.34,0.53,6.26
2013-08,40.0,60.0,86.0,114.25,156.0,41.94,0.42,4.97
2013-09,39.0,52.0,84.0,109.0,153.0,34.13,0.34,4.2
2013-10,0.0,47.0,55.0,100.0,150.0,26.32,0.27,2.88
2013-11,40.0,100.0,117.0,122.0,154.0,46.27,0.47,4.84
2013-12,0.0,65.0,104.0,121.0,162.0,40.39,0.41,4.24
2014-01,40.0,56.0,66.5,111.25,160.0,33.58,0.34,3.76
2014-02,44.0,102.0,116.0,122.0,161.0,46.14,0.47,5.06
2014-03,0.0,0.0,0.0,0.0,159.0,7.39,0.07,0.8
2014-04,0.0,0.0,42.0,57.0,157.0,14.92,0.15,1.66
2014-05,0.0,55.0,86.0,110.0,158.0,35.99,0.36,3.88
2014-06,0.0,88.0,98.0,112.0,155.0,43.01,0.43,4.41
2014-07,80.0,88.0,102.0,113.0,153.0,46.18,0.47,4.59
2014-08,0.0,55.0,87.0,109.0,151.0,36.27,0.37,3.3
2014-09,80.0,92.0,104.0,116.0,152.0,47.49,0.48,4.78
2014-10,0.0,0.0,0.0,0.0,144.0,4.33,0.04,0.47
2014-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,0.0,0.0,43.0,98.0,142.0,22.53,0.23,2.63
2015-01,0.0,86.75,104.0,115.0,155.0,43.26,0.44,4.71
2015-02,0.0,0.0,0.0,0.0,137.0,6.53,0.07,0.74
2015-03,0.0,0.0,46.0,84.0,153.0,21.03,0.21,2.39
2015-04,39.0,45.0,50.0,58.0,157.0,25.17,0.25,2.8
2015-05,0.0,0.0,90.0,107.25,149.0,26.81,0.27,2.96
2015-06,42.0,88.0,100.0,120.0,157.0,47.14,0.48,5.29
2015-07,78.0,95.0,108.0,119.0,157.0,49.02,0.5,5.37
2015-08,79.0,94.0,106.0,118.0,159.0,47.98,0.48,5.25
2015-09,78.0,93.0,102.0,117.0,157.0,47.54,0.48,5.19
2015-10,0.0,0.0,92.0,114.25,156.0,32.58,0.33,3.26
2015-11,0.0,43.0,51.0,58.0,79.0,20.46,0.21,2.09
2015-12,41.0,49.0,57.0,86.0,149.0,30.88,0.31,3.12
2016-01,40.0,46.0,51.0,58.0,92.0,23.88,0.24,2.42
2016-02,40.0,47.0,51.0,57.0,76.0,24.03,0.24,2.43
2016-03,0.0,0.0,47.0,52.25,105.0,16.03,0.16,1.63
2016-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05,0.0,0.0,0.0,0.0,141.0,2.92,0.03,0.34
2016-06,58.0,85.0,94.0,116.0,155.0,46.02,0.46,4.61
2016-07,10.0,89.0,103.0,118.0,155.0,48.09,0.49,4.86
2016-08,82.0,88.0,100.0,116.0,155.0,46.21,0.47,4.84
2016-09,39.0,44.0,49.0,60.0,155.0,27.54,0.28,3.01
2016-10,0.0,0.0,0.0,43.0,66.0,9.21,0.09,1.08
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,0.0,0.0,0.0,0.0,70.0,5.32,0.05,0.68
2017-01,0.0,0.0,0.0,0.0,58.0,2.14,0.02,0.27
2017-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03,0.0,0.0,0.0,0.0,54.0,0.61,0.01,0.23
2017-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,0.0,0.0,0.0,0.0,40.0,0.26,0.0,0.05
2017-06,0.0,0.0,0.0,0.0,78.0,4.11,0.04,0.82
2017-07,0.0,0.0,0.0,0.0,78.0,1.71,0.02,0.34
2017-08,0.0,0.0,0.0,0.0,79.0,5.47,0.06,0.89
2017-09,0.0,0.0,0.0,0.0,78.0,6.21,0.06,0.9
2017-10,0.0,0.0,0.0,0.0,82.0,2.85,0.03,0.48
2017-11,0.0,0.0,0.0,0.0,42.0,0.39,0.0,0.07
2017-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
