year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2001-01,0.0,0.0,165.0,330.0,353.0,106.09,1.07,19.97
2001-02,160.0,169.0,326.0,330.0,343.0,170.68,1.72,33.45
2001-03,0.0,0.0,0.0,294.25,340.0,70.13,0.71,14.38
2001-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-05,0.0,0.0,0.0,0.0,35.0,1.1,0.01,0.56
2001-06,0.0,130.0,232.0,288.0,319.0,126.36,1.28,23.26
2001-07,142.0,210.0,286.0,304.0,310.0,171.45,1.73,29.83
2001-08,198.0,301.0,303.0,306.0,314.0,187.47,1.89,32.67
2001-09,92.0,305.0,309.0,310.0,318.0,178.59,1.8,31.02
2001-10,160.0,314.0,321.0,327.0,332.0,203.46,2.05,35.53
2001-11,0.0,0.0,319.0,328.0,337.0,131.5,1.33,23.19
2001-12,0.0,0.0,0.0,164.0,331.0,49.79,0.5,9.55
2002-01,0.0,261.5,333.0,338.0,353.0,184.2,1.86,33.71
2002-02,165.0,331.0,334.0,338.0,354.0,214.15,2.16,39.28
2002-03,0.0,323.0,330.0,334.0,344.0,195.51,1.97,35.81
2002-04,0.0,0.0,0.0,23.25,320.0,26.62,0.27,5.93
2002-05,0.0,0.0,127.0,223.25,319.0,83.19,0.84,15.85
2002-06,0.0,184.0,234.5,310.0,317.0,156.7,1.58,28.82
2002-07,0.0,192.0,269.0,303.0,310.0,152.01,1.53,28.41
2002-08,90.0,294.75,303.0,306.0,313.0,180.82,1.83,32.69
2002-09,186.0,304.0,308.0,311.0,316.0,188.5,1.9,33.99
2002-10,125.0,254.25,320.0,323.0,328.0,185.43,1.87,34.08
2002-11,188.0,325.0,329.0,332.0,336.0,206.68,2.09,36.6
2002-12,80.0,324.0,328.0,332.0,339.0,202.61,2.05,37.32
2003-01,161.0,320.0,326.0,330.0,336.0,195.13,1.97,35.7
2003-02,0.0,161.0,163.0,330.0,340.0,141.74,1.43,26.28
2003-03,163.0,322.0,326.0,330.0,336.0,200.87,2.03,37.07
2003-04,135.0,188.0,316.0,323.0,328.0,167.09,1.69,28.85
2003-05,0.0,0.0,0.0,158.0,324.0,46.79,0.47,8.72
2003-06,0.0,131.75,188.0,303.0,308.0,127.92,1.29,23.53
2003-07,151.0,296.0,300.0,303.0,311.0,179.17,1.81,32.58
2003-08,147.0,299.0,301.0,303.0,310.0,190.61,1.92,33.71
2003-09,150.0,300.75,304.0,305.0,309.0,183.12,1.85,31.66
2003-10,125.0,306.0,311.0,312.0,318.0,177.5,1.79,32.82
2003-11,7.0,317.0,319.0,325.0,331.0,187.09,1.89,33.6
2003-12,116.0,196.0,328.0,331.0,340.0,183.43,1.85,33.62
2004-01,160.0,325.0,329.0,332.0,337.0,194.02,1.96,34.98
2004-02,318.0,326.0,329.0,331.0,338.0,208.76,2.11,37.75
2004-03,0.0,0.0,0.0,165.0,330.0,58.93,0.59,11.0
2004-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,315.0,13.62,0.14,3.13
2004-06,0.0,180.0,301.0,306.0,309.0,147.67,1.49,30.54
2004-07,167.0,296.0,299.0,302.0,308.0,188.9,1.91,38.55
2004-08,178.0,296.0,298.0,300.0,308.0,189.8,1.92,38.72
2004-09,0.0,295.0,304.0,308.0,317.0,178.28,1.8,36.17
2004-10,181.0,308.0,311.0,316.25,322.0,186.22,1.88,37.66
2004-11,165.0,317.0,318.0,320.0,327.0,202.58,2.05,40.65
2004-12,315.0,320.0,323.0,324.0,334.0,205.33,2.07,40.88
2005-01,178.0,319.0,321.0,323.0,329.0,202.78,2.05,39.72
2005-02,313.0,318.0,320.0,322.0,328.0,206.02,2.08,40.4
2005-03,0.0,155.0,312.0,321.0,330.0,139.58,1.41,27.93
2005-04,154.0,312.0,315.0,317.0,328.0,189.57,1.91,38.38
2005-05,0.0,0.0,0.0,0.0,316.0,18.56,0.19,3.72
2005-06,0.0,0.0,181.0,299.0,311.0,96.28,0.97,20.06
2005-07,176.0,284.0,289.0,296.0,300.0,177.41,1.79,36.15
2005-08,288.0,292.0,293.0,295.0,300.0,189.21,1.91,38.12
2005-09,176.0,295.0,297.0,301.0,308.0,187.48,1.89,36.9
2005-10,239.0,304.0,306.0,308.0,316.0,195.22,1.97,39.24
2005-11,153.0,313.0,315.0,318.0,327.0,191.0,1.93,38.94
2005-12,157.0,315.0,323.0,326.0,338.0,182.92,1.85,37.07
2006-01,176.0,285.0,322.0,325.0,336.0,190.4,1.92,38.65
2006-02,175.0,319.0,322.0,326.0,332.0,204.33,2.06,41.32
2006-03,157.0,312.0,318.0,321.0,332.0,192.62,1.94,39.69
2006-04,136.0,179.0,305.0,314.0,323.0,169.96,1.72,34.22
2006-05,0.0,0.0,0.0,284.25,317.0,70.21,0.71,14.18
2006-06,144.0,184.75,284.0,288.0,297.0,168.69,1.7,33.79
2006-07,0.0,284.0,286.0,288.0,294.0,174.92,1.77,35.21
2006-08,0.0,289.0,292.0,293.0,302.0,186.93,1.89,37.61
2006-09,286.0,294.0,299.0,302.0,310.0,195.01,1.97,38.8
2006-10,267.0,302.0,307.0,312.0,316.0,198.16,2.0,38.9
2006-11,0.0,278.75,312.0,314.0,320.0,160.08,1.62,32.6
2006-12,0.0,319.0,322.0,325.0,333.0,194.53,1.96,39.87
2007-01,0.0,319.0,322.0,325.0,338.0,190.89,1.93,38.19
2007-02,310.0,316.0,319.0,321.0,328.0,205.9,2.08,41.88
2007-03,159.0,306.0,314.0,319.0,328.0,193.96,1.96,39.72
2007-04,52.0,306.0,310.0,314.0,319.0,194.12,1.96,39.99
2007-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06,0.0,0.0,0.0,293.0,305.0,77.22,0.78,14.62
2007-07,229.0,426.0,436.0,445.0,448.0,173.45,1.75,34.0
2007-08,79.0,437.0,442.0,446.0,448.0,181.8,1.84,36.15
2007-09,291.0,441.0,444.5,447.0,448.0,182.99,1.85,36.73
2007-10,0.0,0.0,445.0,446.0,448.0,107.47,1.09,21.69
2007-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01,0.0,230.0,489.0,496.0,507.0,148.61,1.5,29.71
2008-02,226.0,230.0,475.0,491.0,502.0,156.62,1.58,31.47
2008-03,0.0,475.75,481.0,487.0,503.0,189.57,1.91,38.09
2008-04,227.0,480.0,482.0,497.0,500.0,193.64,1.95,38.57
2008-05,227.0,317.0,468.0,472.0,483.0,174.88,1.77,35.39
2008-06,291.0,303.0,448.0,458.0,479.0,174.56,1.76,36.98
2008-07,293.0,414.25,439.5,448.0,467.0,175.19,1.77,37.71
2008-08,0.0,407.25,447.0,452.0,469.0,168.35,1.7,36.67
2008-09,68.0,453.0,459.0,463.0,485.0,189.9,1.92,41.31
2008-10,0.0,0.0,474.0,483.0,503.0,133.84,1.35,28.73
2008-11,244.0,482.0,486.0,488.0,505.0,198.76,2.01,41.89
2008-12,418.0,489.0,494.0,495.0,507.0,204.51,2.06,41.76
2009-01,291.0,483.0,489.0,491.0,503.0,198.09,2.0,39.76
2009-02,230.0,484.0,489.0,492.0,504.0,194.95,1.97,39.31
2009-03,291.0,479.75,486.0,491.0,504.0,195.8,1.98,39.35
2009-04,0.0,287.0,448.0,476.0,506.0,138.19,1.4,28.1
2009-05,238.0,295.0,453.0,459.0,484.0,171.4,1.73,34.43
2009-06,287.0,295.0,448.0,458.0,470.0,172.27,1.74,34.58
2009-07,0.0,386.5,436.0,450.0,463.0,176.38,1.78,35.15
2009-08,291.0,321.75,449.0,458.0,472.0,177.3,1.79,35.2
2009-09,102.0,444.5,458.0,463.0,482.0,182.24,1.84,36.44
2009-10,0.0,0.0,0.0,0.0,313.0,10.94,0.11,3.07
2009-11,151.0,291.0,446.0,485.0,499.0,172.79,1.74,33.41
2009-12,292.0,315.0,488.0,490.0,501.0,185.27,1.87,35.93
2010-01,238.0,302.0,486.0,489.0,499.0,177.29,1.79,34.08
2010-02,231.0,408.75,486.0,490.0,504.0,184.16,1.86,36.62
2010-03,466.0,482.0,489.0,491.0,504.0,198.83,2.01,39.95
2010-04,0.0,212.0,478.0,486.0,503.0,143.29,1.45,28.77
2010-05,290.0,345.0,469.0,478.0,491.0,177.8,1.8,34.75
2010-06,292.0,305.0,429.0,456.0,484.0,166.29,1.68,34.35
2010-07,300.0,303.0,417.5,443.0,471.0,166.81,1.68,35.09
2010-08,300.0,338.75,428.0,453.0,478.0,172.25,1.74,36.2
2010-09,36.0,430.75,459.0,469.0,483.0,181.59,1.83,37.05
2010-10,0.0,0.0,0.0,227.0,237.0,36.28,0.37,7.79
2010-11,0.0,228.0,232.0,237.0,244.0,96.72,0.98,20.19
2010-12,143.0,230.0,236.0,238.0,504.0,107.22,1.08,22.6
2011-01,287.0,298.0,485.0,489.0,505.0,177.56,1.79,38.15
2011-02,0.0,289.0,484.0,492.0,505.0,160.94,1.62,33.86
2011-03,289.0,310.75,476.0,485.0,504.0,176.37,1.78,36.82
2011-04,136.0,238.0,292.0,471.0,502.0,145.72,1.47,30.52
2011-05,284.0,292.0,454.0,466.0,491.0,164.12,1.66,34.21
2011-06,73.0,293.0,430.5,451.0,479.0,162.41,1.64,32.83
2011-07,69.0,308.0,437.5,446.0,470.0,166.26,1.68,33.26
2011-08,126.0,293.0,426.0,442.0,475.0,157.55,1.59,31.78
2011-09,0.0,316.5,451.0,464.0,480.0,171.7,1.73,34.45
2011-10,0.0,0.0,0.0,444.5,490.0,78.97,0.8,15.93
2011-11,0.0,0.0,0.0,0.0,233.0,4.44,0.04,1.05
2011-12,0.0,0.0,0.0,289.0,499.0,55.1,0.56,11.2
2012-01,0.0,0.0,0.0,289.0,500.0,62.11,0.63,12.61
2012-02,0.0,0.0,288.0,488.0,500.0,93.0,0.94,19.03
2012-03,0.0,0.0,290.0,483.0,500.0,119.96,1.21,23.97
2012-04,0.0,0.0,0.0,322.0,488.0,69.06,0.7,14.12
2012-05,151.0,236.75,293.0,460.0,490.0,144.55,1.46,28.64
2012-06,0.0,0.0,292.0,437.25,481.0,115.52,1.17,23.13
2012-07,123.0,292.0,361.5,432.0,468.0,153.36,1.55,30.64
2012-08,107.0,292.0,408.0,443.0,467.0,158.66,1.6,31.72
2012-09,144.0,291.0,442.0,457.0,483.0,162.13,1.64,32.35
2012-10,0.0,288.0,420.5,477.0,492.0,146.3,1.48,29.22
2012-11,0.0,0.0,223.5,458.5,497.0,91.74,0.93,18.91
2012-12,0.0,196.75,480.5,497.0,503.0,142.76,1.44,28.59
2013-01,286.0,491.0,497.0,499.0,502.0,196.0,1.98,39.32
2013-02,168.0,490.0,496.0,499.0,503.0,198.16,2.0,39.47
2013-03,0.0,397.75,483.0,493.0,503.0,152.7,1.54,30.47
2013-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06,0.0,0.0,289.5,433.0,479.0,90.42,0.91,18.35
2013-07,128.0,372.0,429.5,447.0,473.0,168.79,1.7,33.68
2013-08,289.0,433.0,452.0,467.25,483.0,187.06,1.89,37.13
2013-09,0.0,234.0,449.0,467.0,487.0,144.25,1.46,28.81
2013-10,0.0,471.0,482.0,490.0,498.0,170.78,1.72,34.43
2013-11,0.0,0.0,308.5,495.0,502.0,106.54,1.08,21.22
2013-12,0.0,486.0,496.0,499.0,502.0,172.73,1.74,34.49
2014-01,0.0,0.0,0.0,486.0,502.0,56.8,0.57,11.33
2014-02,0.0,302.0,482.0,494.0,502.0,164.78,1.66,32.95
2014-03,0.0,0.0,0.0,0.0,502.0,30.53,0.31,6.14
2014-04,0.0,0.0,0.0,0.0,486.0,28.29,0.29,5.77
2014-05,0.0,0.0,0.0,0.0,480.0,2.94,0.03,0.58
2014-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,0.0,0.0,349.5,431.0,472.0,90.06,0.91,17.4
2014-08,0.0,354.0,442.0,462.0,482.0,152.17,1.54,29.03
2014-09,0.0,347.75,446.0,470.0,487.0,162.14,1.64,31.05
2014-10,0.0,0.0,0.0,458.5,492.0,69.73,0.7,13.52
2014-11,0.0,0.0,286.0,485.0,499.0,98.79,1.0,19.19
2014-12,0.0,0.0,0.0,349.5,498.0,57.57,0.58,11.35
2015-01,0.0,0.0,0.0,0.0,108.0,0.09,0.0,0.02
