year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2002-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-09,0.0,0.0,0.0,166.0,173.0,42.08,0.42,7.69
2002-10,0.0,0.0,0.0,0.0,171.0,3.03,0.03,2.45
2002-11,0.0,0.0,0.0,0.0,175.0,24.37,0.25,5.53
2002-12,0.0,0.0,171.0,172.0,174.0,69.92,0.71,15.29
2003-01,0.0,0.0,0.0,0.0,174.0,22.57,0.23,6.59
2003-02,0.0,169.0,171.0,172.0,174.0,82.95,0.84,17.18
2003-03,0.0,0.0,0.0,170.0,173.0,36.86,0.37,5.96
2003-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06,0.0,0.0,0.0,0.0,170.0,20.62,0.21,8.1
2003-07,0.0,160.0,164.0,167.0,179.0,79.1,0.8,14.22
2003-08,0.0,0.0,163.0,166.0,179.0,67.08,0.68,14.29
2003-09,158.0,163.0,165.0,167.0,180.0,101.87,1.03,16.04
2003-10,0.0,0.0,0.0,162.0,169.0,28.74,0.29,5.92
2003-11,0.0,0.0,0.0,0.0,175.0,10.94,0.11,3.16
2003-12,0.0,0.0,0.0,0.0,0.0,18.78,0.19,28.76
2004-01,0.0,0.0,0.0,0.0,177.0,9.99,0.1,4.47
2004-02,0.0,0.0,166.0,172.0,180.0,50.72,0.51,10.25
2004-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04,0.0,0.0,0.0,167.0,176.0,25.09,0.25,5.33
2004-05,0.0,0.0,0.0,168.0,174.0,39.84,0.4,7.92
2004-06,0.0,0.0,0.0,104.75,173.0,23.2,0.23,7.26
2004-07,0.0,0.0,160.5,164.0,172.0,66.72,0.67,10.8
2004-08,0.0,158.0,161.0,164.0,169.0,83.4,0.84,12.71
2004-09,0.0,0.0,0.0,166.0,172.0,52.71,0.53,8.6
2004-10,0.0,0.0,0.0,164.0,172.0,46.73,0.47,7.71
2004-11,0.0,0.0,0.0,170.0,173.0,55.74,0.56,9.09
2004-12,0.0,0.0,0.0,169.0,178.0,38.98,0.39,6.7
2005-01,0.0,0.0,250.0,260.0,283.0,66.3,0.67,11.28
2005-02,0.0,0.0,0.0,218.25,262.0,29.04,0.29,5.38
2005-03,0.0,0.0,0.0,0.0,260.0,21.14,0.21,3.77
2005-04,0.0,0.0,0.0,0.0,262.0,11.64,0.12,2.93
2005-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,251.0,1.27,0.01,2.26
2005-07,0.0,0.0,0.0,250.0,268.0,53.21,0.54,8.86
2005-08,0.0,246.0,250.0,252.0,276.0,96.73,0.98,15.74
2005-09,0.0,0.0,0.0,250.0,256.0,43.59,0.44,7.23
2005-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11,0.0,0.0,0.0,0.0,254.0,15.62,0.16,2.8
2005-12,0.0,0.0,254.0,256.0,277.0,82.73,0.84,12.47
2006-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02,0.0,0.0,0.0,0.0,257.0,24.79,0.25,4.26
2006-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04,0.0,0.0,0.0,0.0,170.0,1.51,0.02,0.36
2006-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
