year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2001-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09,0.0,0.0,0.0,0.0,80.0,2.14,0.02,2.04
2001-10,0.0,0.0,0.0,0.0,124.0,4.92,0.05,1.83
2001-11,0.0,0.0,0.0,0.0,134.0,9.96,0.1,2.87
2001-12,0.0,0.0,0.0,0.0,84.0,2.01,0.02,0.75
2002-01,0.0,0.0,0.0,0.0,86.0,0.72,0.01,0.65
2002-02,0.0,0.0,0.0,0.0,43.0,0.43,0.0,0.65
2002-03,0.0,0.0,0.0,0.0,142.0,8.49,0.09,3.28
2002-04,0.0,0.0,0.0,0.0,135.0,1.69,0.02,1.09
2002-05,0.0,0.0,0.0,0.0,123.0,4.36,0.04,1.83
2002-06,0.0,0.0,0.0,0.0,127.0,7.05,0.07,3.21
2002-07,0.0,0.0,0.0,0.0,118.0,10.02,0.1,3.96
2002-08,0.0,0.0,0.0,0.0,117.0,7.26,0.07,3.31
2002-09,0.0,0.0,0.0,35.0,127.0,12.47,0.13,5.33
2002-10,0.0,0.0,0.0,0.0,136.0,7.65,0.08,4.36
2002-11,0.0,0.0,0.0,0.0,138.0,9.85,0.1,4.68
2002-12,0.0,0.0,0.0,0.0,140.0,5.49,0.06,2.43
2003-01,0.0,0.0,0.0,0.0,138.0,3.8,0.04,2.28
2003-02,0.0,0.0,0.0,0.0,140.0,5.47,0.06,2.76
2003-03,0.0,0.0,0.0,0.0,138.0,6.98,0.07,4.64
2003-04,0.0,0.0,0.0,0.0,137.0,6.32,0.06,4.2
2003-05,0.0,0.0,0.0,0.0,142.0,6.71,0.07,3.9
2003-06,0.0,0.0,0.0,0.0,132.0,2.44,0.02,2.45
2003-07,0.0,0.0,0.0,0.0,131.0,2.57,0.03,2.68
2003-08,0.0,0.0,0.0,0.0,131.0,6.96,0.07,4.55
2003-09,0.0,0.0,0.0,0.0,133.0,8.06,0.08,3.11
2003-10,0.0,0.0,0.0,0.0,136.0,8.36,0.08,3.29
2003-11,0.0,0.0,0.0,0.0,137.0,0.68,0.01,0.53
2003-12,0.0,0.0,0.0,0.0,142.0,4.22,0.04,1.95
2004-01,0.0,0.0,0.0,0.0,138.0,2.94,0.03,2.04
2004-02,0.0,0.0,0.0,0.0,142.0,3.28,0.03,2.33
2004-03,0.0,0.0,0.0,0.0,135.0,7.91,0.08,3.65
2004-04,0.0,0.0,0.0,0.0,138.0,4.41,0.04,2.41
2004-05,0.0,0.0,0.0,0.0,138.0,6.85,0.07,2.79
2004-06,0.0,0.0,0.0,0.0,132.0,2.26,0.02,1.38
2004-07,0.0,0.0,0.0,0.0,132.0,4.84,0.05,1.98
2004-08,0.0,0.0,0.0,0.0,131.0,3.16,0.03,1.3
2004-09,0.0,0.0,0.0,0.0,133.0,8.06,0.08,4.03
2004-10,0.0,0.0,0.0,0.0,135.0,6.7,0.07,2.25
2004-11,0.0,0.0,0.0,0.0,138.0,6.16,0.06,2.89
2004-12,0.0,0.0,0.0,0.0,141.0,10.0,0.1,4.23
2005-01,0.0,0.0,0.0,0.0,141.0,5.95,0.06,2.65
2005-02,0.0,0.0,0.0,0.0,140.0,2.33,0.02,1.49
2005-03,0.0,0.0,0.0,0.0,138.0,3.01,0.03,1.98
2005-04,0.0,0.0,0.0,0.0,140.0,1.03,0.01,0.69
2005-05,0.0,0.0,0.0,0.0,138.0,5.36,0.05,2.23
2005-06,0.0,0.0,0.0,0.0,130.0,3.16,0.03,2.02
2005-07,0.0,0.0,0.0,0.0,130.0,7.63,0.08,3.19
2005-08,0.0,0.0,0.0,0.0,130.0,6.72,0.07,2.71
2005-09,0.0,0.0,0.0,0.0,139.0,2.41,0.02,1.61
2005-10,0.0,0.0,0.0,0.0,129.0,2.46,0.02,1.97
2005-11,0.0,0.0,0.0,0.0,138.0,4.03,0.04,2.16
2005-12,0.0,0.0,0.0,0.0,128.0,4.57,0.05,2.35
2006-01,0.0,0.0,0.0,0.0,128.0,1.67,0.02,1.43
2006-02,0.0,0.0,0.0,0.0,130.0,0.94,0.01,0.8
2006-03,0.0,0.0,0.0,0.0,116.0,1.43,0.01,1.4
2006-04,0.0,0.0,0.0,0.0,132.0,6.0,0.06,2.9
2006-05,0.0,0.0,0.0,0.0,134.0,4.99,0.05,2.87
2006-06,0.0,0.0,0.0,0.0,128.0,4.0,0.04,2.22
2006-07,0.0,0.0,0.0,76.0,126.0,18.63,0.19,18.3
2006-08,0.0,0.0,0.0,0.0,127.0,2.05,0.02,5.15
2006-09,0.0,0.0,0.0,0.0,128.0,2.71,0.03,6.4
2006-10,0.0,0.0,0.0,0.0,112.0,1.08,0.01,0.93
2006-11,0.0,0.0,0.0,0.0,134.0,1.94,0.02,1.55
2006-12,0.0,0.0,0.0,0.0,138.0,1.73,0.02,1.26
2007-01,0.0,0.0,0.0,0.0,137.0,3.32,0.03,1.89
2007-02,0.0,0.0,0.0,0.0,116.0,0.76,0.01,0.79
2007-03,0.0,0.0,0.0,0.0,137.0,4.66,0.05,2.49
2007-04,0.0,0.0,0.0,0.0,133.0,2.28,0.02,1.26
2007-05,0.0,0.0,0.0,0.0,134.0,5.27,0.05,2.23
2007-06,0.0,0.0,0.0,0.0,133.0,7.43,0.07,2.73
2007-07,0.0,0.0,0.0,0.0,129.0,11.9,0.12,4.22
2007-08,0.0,0.0,0.0,0.0,129.0,13.5,0.14,4.21
2007-09,0.0,0.0,0.0,0.0,128.0,3.77,0.04,1.41
2007-10,0.0,0.0,0.0,0.0,150.0,7.98,0.08,3.2
2007-11,0.0,0.0,0.0,0.0,131.0,5.18,0.05,2.41
2007-12,0.0,0.0,0.0,0.0,131.0,5.86,0.06,2.66
2008-01,0.0,0.0,0.0,0.0,135.0,6.13,0.06,2.83
2008-02,0.0,0.0,0.0,0.0,123.0,3.37,0.03,1.84
2008-03,0.0,0.0,0.0,0.0,133.0,3.35,0.03,1.9
2008-04,0.0,0.0,0.0,0.0,133.0,3.32,0.03,1.73
2008-05,0.0,0.0,0.0,0.0,130.0,3.24,0.03,1.33
2008-06,0.0,0.0,0.0,0.0,132.0,10.0,0.1,4.03
2008-07,0.0,0.0,0.0,0.0,129.0,12.77,0.13,4.31
2008-08,0.0,0.0,0.0,34.25,129.0,15.51,0.16,4.94
2008-09,0.0,0.0,0.0,36.5,130.0,16.04,0.16,4.99
2008-10,0.0,0.0,0.0,59.0,135.0,17.65,0.18,5.74
2008-11,0.0,0.0,0.0,0.0,134.0,5.93,0.06,2.31
2008-12,0.0,0.0,0.0,0.0,132.0,6.41,0.06,2.32
2009-01,0.0,0.0,0.0,0.0,134.0,4.31,0.04,1.9
2009-02,0.0,0.0,0.0,0.0,134.0,5.33,0.05,2.32
2009-03,0.0,0.0,0.0,0.0,134.0,5.28,0.05,2.19
2009-04,0.0,0.0,0.0,0.0,119.0,2.85,0.03,1.72
2009-05,0.0,0.0,0.0,0.0,90.0,5.11,0.05,2.09
2009-06,0.0,0.0,0.0,0.0,86.0,1.67,0.02,0.69
2009-07,0.0,0.0,0.0,0.0,128.0,8.24,0.08,3.11
2009-08,0.0,0.0,0.0,0.0,127.0,6.91,0.07,2.76
2009-09,0.0,0.0,0.0,0.0,128.0,8.55,0.09,3.23
2009-10,0.0,0.0,0.0,0.0,134.0,6.19,0.06,2.76
2009-11,0.0,0.0,0.0,0.0,136.0,1.28,0.01,0.82
2009-12,0.0,0.0,0.0,0.0,137.0,2.08,0.02,1.02
2010-01,0.0,0.0,0.0,0.0,138.0,5.88,0.06,2.53
2010-02,0.0,0.0,0.0,0.0,91.0,2.98,0.03,1.57
2010-03,0.0,0.0,0.0,0.0,90.0,3.02,0.03,1.43
2010-04,0.0,0.0,0.0,0.0,122.0,1.89,0.02,1.04
2010-05,0.0,0.0,0.0,0.0,135.0,1.94,0.02,1.03
2010-06,0.0,0.0,0.0,0.0,130.0,7.02,0.07,2.87
2010-07,0.0,0.0,0.0,0.0,124.0,7.49,0.08,2.38
2010-08,0.0,0.0,0.0,0.0,119.0,6.92,0.07,2.29
2010-09,0.0,0.0,0.0,0.0,130.0,7.37,0.07,2.48
2010-10,0.0,0.0,0.0,0.0,132.0,5.05,0.05,2.33
2010-11,0.0,0.0,0.0,0.0,93.0,3.67,0.04,1.55
