year_month,min_gload_mw,q1_gload_mw,q2_gload_mw,q3_gload_mw,max_gload_mw,avg_co2_mass_tons_hr,avg_so2_mass_lbs_hr,avg_nox_mass_lbs_hr
2001-10,0.0,0.0,0.0,0.0,96.0,6.46,0.07,186.02
2001-11,0.0,0.0,0.0,0.0,93.0,3.28,0.03,94.34
2001-12,0.0,0.0,0.0,0.0,96.0,8.83,0.09,251.83
2002-01,0.0,0.0,0.0,0.0,96.0,2.24,0.02,64.6
2002-02,0.0,0.0,0.0,0.0,96.0,3.38,0.03,97.47
2002-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-04,0.0,0.0,0.0,0.0,96.0,8.77,0.09,252.82
2002-05,0.0,0.0,0.0,0.0,95.0,5.51,0.06,158.92
2002-06,0.0,0.0,0.0,0.0,90.0,4.21,0.04,121.39
2002-07,0.0,0.0,0.0,0.0,91.0,7.49,0.08,215.68
2002-08,0.0,0.0,0.0,0.0,90.0,2.72,0.03,77.35
2002-09,0.0,0.0,0.0,0.0,86.0,2.39,0.02,68.65
2002-10,0.0,0.0,0.0,0.0,92.0,2.36,0.02,0.9
2002-11,0.0,0.0,0.0,0.0,98.0,4.0,0.04,0.87
2002-12,0.0,0.0,0.0,0.0,99.0,3.82,0.04,0.91
2003-01,0.0,0.0,0.0,0.0,90.0,0.39,0.0,0.15
2003-02,0.0,0.0,0.0,0.0,96.0,0.71,0.01,0.18
2003-03,0.0,0.0,0.0,0.0,95.0,0.66,0.01,0.28
2003-04,0.0,0.0,0.0,0.0,95.0,1.07,0.01,0.76
2003-05,0.0,0.0,0.0,0.0,87.0,0.88,0.01,0.47
2003-06,0.0,0.0,0.0,0.0,92.0,2.49,0.03,0.65
2003-07,0.0,0.0,0.0,0.0,88.0,3.64,0.04,1.03
2003-08,0.0,0.0,0.0,0.0,88.0,1.61,0.02,0.41
2003-09,0.0,0.0,0.0,0.0,88.0,2.65,0.03,0.65
2003-10,0.0,0.0,0.0,0.0,92.0,1.55,0.02,0.5
2003-11,0.0,0.0,0.0,0.0,69.0,0.15,0.0,0.05
2003-12,0.0,0.0,0.0,0.0,60.0,0.12,0.0,0.07
2004-01,0.0,0.0,0.0,0.0,86.0,0.11,0.0,0.05
2004-02,0.0,0.0,0.0,0.0,100.0,0.69,0.01,0.5
2004-03,0.0,0.0,0.0,0.0,86.0,0.24,0.0,0.08
2004-04,0.0,0.0,0.0,0.0,88.0,0.67,0.01,0.4
2004-05,0.0,0.0,0.0,0.0,90.0,1.01,0.01,0.24
2004-06,0.0,0.0,0.0,0.0,94.0,1.0,0.01,0.22
2004-07,0.0,0.0,0.0,0.0,86.0,1.51,0.02,0.38
2004-08,0.0,0.0,0.0,0.0,91.0,0.92,0.01,0.25
2004-09,0.0,0.0,0.0,0.0,87.0,1.57,0.02,0.37
2004-10,0.0,0.0,0.0,0.0,84.0,0.34,0.0,0.24
2004-11,0.0,0.0,0.0,0.0,95.0,0.32,0.0,0.52
2004-12,0.0,0.0,0.0,0.0,94.0,0.13,0.0,0.27
2005-01,0.0,0.0,0.0,0.0,94.0,0.31,0.0,0.1
2005-02,0.0,0.0,0.0,0.0,61.0,0.23,0.0,0.07
2005-03,0.0,0.0,0.0,0.0,77.0,0.11,0.0,0.03
2005-04,0.0,0.0,0.0,0.0,91.0,0.3,0.0,0.08
2005-05,0.0,0.0,0.0,0.0,78.0,0.33,0.0,0.1
2005-06,0.0,0.0,0.0,0.0,90.0,0.97,0.01,0.19
2005-07,0.0,0.0,0.0,78.0,89.0,16.67,0.17,3.11
2005-08,0.0,0.0,0.0,0.0,89.0,5.35,0.05,1.06
2005-09,0.0,0.0,0.0,0.0,81.0,0.36,0.0,0.09
2005-10,0.0,0.0,0.0,0.0,73.0,0.56,0.01,0.22
2005-11,0.0,0.0,0.0,0.0,97.0,1.15,0.01,0.54
2005-12,0.0,0.0,0.0,0.0,96.0,1.48,0.01,0.62
2006-01,0.0,0.0,0.0,0.0,86.0,1.26,0.01,0.31
2006-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04,0.0,0.0,0.0,0.0,46.0,0.34,0.0,0.3
2006-05,0.0,0.0,0.0,0.0,90.0,1.02,0.01,0.51
2006-06,0.0,0.0,0.0,0.0,95.0,3.73,0.04,0.85
2006-07,0.0,0.0,0.0,0.0,87.0,9.84,0.1,2.53
2006-08,0.0,0.0,0.0,0.0,86.0,1.05,0.01,0.22
2006-09,0.0,0.0,0.0,0.0,85.0,0.26,0.0,0.07
2006-10,0.0,0.0,0.0,0.0,92.0,0.27,0.0,0.21
2006-11,0.0,0.0,0.0,0.0,98.0,0.97,0.01,0.34
2006-12,0.0,0.0,0.0,0.0,35.0,0.05,0.0,0.04
2007-01,0.0,0.0,0.0,52.0,98.0,15.85,0.16,2.8
2007-02,0.0,0.0,0.0,0.0,70.0,0.09,0.0,0.04
2007-03,0.0,0.0,0.0,0.0,44.0,0.04,0.0,0.01
2007-04,0.0,0.0,0.0,0.0,69.0,0.51,0.01,0.17
2007-05,0.0,0.0,0.0,0.0,14.0,0.02,0.0,0.01
2007-06,0.0,0.0,0.0,0.0,96.0,2.96,0.03,0.65
2007-07,0.0,0.0,0.0,0.0,94.0,2.37,0.02,0.5
2007-08,0.0,0.0,0.0,0.0,96.0,6.87,0.07,1.49
2007-09,0.0,0.0,0.0,0.0,90.0,0.36,0.0,0.08
2007-10,0.0,0.0,0.0,0.0,83.0,0.07,0.0,0.03
2007-11,0.0,0.0,0.0,0.0,100.0,1.44,0.01,0.35
2007-12,0.0,0.0,0.0,0.0,98.0,0.81,0.01,0.44
2008-01,0.0,0.0,0.0,0.0,99.0,2.53,0.03,0.6
2008-02,0.0,0.0,0.0,0.0,54.0,0.32,0.0,0.35
2008-03,0.0,0.0,0.0,0.0,93.0,0.53,0.01,0.16
2008-04,0.0,0.0,0.0,0.0,72.0,0.48,0.0,0.14
2008-05,0.0,0.0,0.0,0.0,93.0,1.89,0.02,0.64
2008-06,0.0,0.0,0.0,0.0,96.0,3.39,0.03,1.03
2008-07,0.0,0.0,0.0,0.0,92.0,2.54,0.03,0.95
2008-08,0.0,0.0,0.0,0.0,93.0,3.24,0.03,1.17
2008-09,0.0,0.0,0.0,0.0,95.0,5.73,0.06,1.61
2008-10,0.0,0.0,0.0,0.0,100.0,6.48,0.07,1.65
2008-11,0.0,0.0,0.0,0.0,100.0,4.49,0.05,1.6
2008-12,0.0,0.0,0.0,0.0,102.0,5.75,0.06,1.94
2009-01,0.0,0.0,0.0,0.0,100.0,1.56,0.02,0.36
2009-02,0.0,0.0,0.0,0.0,101.0,1.45,0.01,0.3
2009-03,0.0,0.0,0.0,0.0,93.0,1.21,0.01,0.37
2009-04,0.0,0.0,0.0,0.0,86.0,1.42,0.01,0.39
2009-05,0.0,0.0,0.0,0.0,77.0,1.54,0.02,1.13
2009-06,0.0,0.0,0.0,0.0,99.0,1.8,0.02,0.53
2009-07,0.0,0.0,0.0,0.0,94.0,8.41,0.08,2.12
2009-08,0.0,0.0,0.0,0.0,93.0,6.84,0.07,1.95
2009-09,0.0,0.0,0.0,0.0,94.0,10.15,0.1,2.15
2009-10,0.0,0.0,0.0,0.0,98.0,9.59,0.1,2.73
2009-11,0.0,0.0,0.0,0.0,95.0,4.38,0.04,1.33
2009-12,0.0,0.0,0.0,0.0,101.0,4.8,0.05,1.24
2010-01,0.0,0.0,0.0,0.0,84.0,1.46,0.01,0.33
2010-02,0.0,0.0,0.0,0.0,73.0,1.42,0.01,0.35
2010-03,0.0,0.0,0.0,0.0,78.0,1.13,0.01,0.25
2010-04,0.0,0.0,0.0,0.0,74.0,1.06,0.01,0.24
2010-05,0.0,0.0,0.0,0.0,78.0,0.88,0.01,0.41
2010-06,0.0,0.0,0.0,0.0,97.0,3.39,0.03,0.9
2010-07,0.0,0.0,0.0,0.0,90.0,2.92,0.03,0.63
2010-08,0.0,0.0,0.0,0.0,78.0,1.81,0.02,0.4
2010-09,0.0,0.0,0.0,0.0,94.0,1.82,0.02,0.38
2010-10,0.0,0.0,0.0,0.0,90.0,0.65,0.01,0.37
2010-11,0.0,0.0,0.0,0.0,96.0,0.32,0.0,0.1
2010-12,0.0,0.0,0.0,0.0,55.0,0.07,0.0,0.03
2011-01,0.0,0.0,0.0,0.0,66.0,0.18,0.0,0.06
2011-02,0.0,0.0,0.0,0.0,78.0,0.2,0.0,0.07
2011-03,0.0,0.0,0.0,0.0,60.0,0.06,0.0,0.02
2011-04,0.0,0.0,0.0,0.0,72.0,0.11,0.0,0.06
2011-05,0.0,0.0,0.0,0.0,86.0,0.11,0.0,0.07
